PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Ckap4,Cytoskeleton-associated protein 4,Q8BMK4,CKAP4_MOUSE,"endoplasmic reticulum,endoplasmic reticulum membrane,rough endoplasmic reticulum,lipid particle,cytosol,cytoskeleton,plasma membrane,cell surface,integral component of membrane,nuclear speck,extracellular matrix,cytoplasmic ribonucleoprotein granule,perinuclear region of cytoplasm,extracellular exosome",biological_process,RNA binding,3.18701762740509E-83,17,19,9,20,12,18,20,20,17,19,9,20,12,18,20,20,33.42464828491211,114.90545654296875,16.07582664489746,341.07568359375,15.848941802978516,58.691246032714844,178.88192749023438,120.95677947998047
Hadha,"Trifunctional enzyme subunit alpha, mitochondrial",Q8BMS1,ECHA_MOUSE,"mitochondrion,mitochondrial inner membrane,mitochondrial fatty acid beta-oxidation multienzyme complex,extracellular matrix,mitochondrial nucleoid","fatty acid beta-oxidation,response to insulin,response to drug","fatty-acyl-CoA binding,acetyl-CoA C-acyltransferase activity,enoyl-CoA hydratase activity,long-chain-enoyl-CoA hydratase activity,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,protein complex binding,NAD binding",1.291313482416339E-86,45,45,45,44,45,45,45,44,45,45,45,44,45,45,45,44,1784.3519287109375,856.7535400390625,1773.99658203125,758.7425537109375,1834.6328125,1575.76318359375,746.2997436523438,912.6846923828125
Coq3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",Q8BMS4,COQ3_MOUSE,"mitochondrion,mitochondrial inner membrane","glycerol metabolic process,ubiquinone biosynthetic process,regulation of ubiquinone biosynthetic process,methylation","hexaprenyldihydroxybenzoate methyltransferase activity,O-methyltransferase activity,2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity,3-demethylubiquinone-9 3-O-methyltransferase activity",6.940208668715007E-50,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,33.43107223510742,19.31029510498047,31.342060089111328,13.826624870300293,31.760879516601562,17.850872039794922,13.717615127563477,17.435712814331055
Qsox1,Sulfhydryl oxidase 1;Isoform 2 of Sulfhydryl oxidase 1;Isoform 3 of Sulfhydryl oxidase 1,Q8BND5;Q8BND5-2;Q8BND5-3,QSOX1_MOUSE,"extracellular space,endoplasmic reticulum,Golgi apparatus,integral component of Golgi membrane,intracellular membrane-bounded organelle,intercellular bridge,extracellular exosome;;","negative regulation of macroautophagy,cell redox homeostasis,oxidation-reduction process;;","protein disulfide isomerase activity,flavin-linked sulfhydryl oxidase activity;;",4.8985361400542945E-49,5,8,6,9,3,6,9,8,5,8,6,9,3,6,9,8,24.241798400878906,75.36231994628906,12.278738021850586,291.7470703125,9.484140396118164,21.54787254333496,81.61688232421875,61.91878890991211
Acp6,Lysophosphatidic acid phosphatase type 6,Q8BP40,PPA6_MOUSE,"cytoplasm,mitochondrion","hematopoietic progenitor cell differentiation,phospholipid metabolic process,dephosphorylation,lysobisphosphatidic acid metabolic process","acid phosphatase activity,lysophosphatidic acid phosphatase activity",9.435189386712989E-71,10,9,10,9,9,9,10,9,10,9,10,9,9,9,10,9,271.8326110839844,126.95660400390625,254.5308837890625,78.35924530029297,279.1396179199219,264.4407958984375,98.30973052978516,115.39151763916016
Tpm1,"Tropomyosin 1, alpha, isoform CRA_c",Q8BP43,Q8BP43_MOUSE,,,,2.0392680634714961E-63,2,3,2,3,3,2,3,3,2,3,2,3,3,2,3,3,26.415128707885742,184.74386596679688,14.978492736816406,256.6391296386719,23.104726791381836,13.1333589553833,187.9832763671875,111.58100128173828
Nars,"Asparagine--tRNA ligase, cytoplasmic",Q8BP47,SYNC_MOUSE,"mitochondrion,cytosol,extracellular exosome",asparaginyl-tRNA aminoacylation,"nucleic acid binding,asparagine-tRNA ligase activity,ATP binding",9.434597318651505E-80,14,14,13,14,13,14,14,14,14,14,13,14,13,14,14,14,150.8498077392578,303.3377380371094,149.9137420654297,258.5945739746094,154.80824279785156,171.91424560546875,334.7216796875,285.1402282714844
Metap1,Methionine aminopeptidase 1,Q8BP48,MAP11_MOUSE,cytoplasm,"proteolysis,platelet aggregation","aminopeptidase activity,metalloexopeptidase activity,metal ion binding",5.35488618459835E-66,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,22.302209854125977,44.26402282714844,14.900497436523438,33.287261962890625,23.22978401184082,16.16967010498047,44.75122833251953,29.72806739807129
Rpl24,60S ribosomal protein L24,Q8BP67,RL24_MOUSE,"cytoplasm,membrane,cytosolic large ribosomal subunit,extracellular exosome","ribosomal large subunit assembly,translation,mitotic cell cycle checkpoint,exit from mitosis,optic nerve development,retinal ganglion cell axon guidance,retina development in camera-type eye,assembly of large subunit precursor of preribosome","RNA binding,structural constituent of ribosome,cadherin binding",2.6864517847148787E-65,7,8,8,8,7,7,8,8,7,8,8,8,7,7,8,8,495.9303894042969,791.1298828125,443.5196533203125,659.9656372070312,470.1913146972656,487.0404052734375,820.6220092773438,649.9522705078125
Rcn2,Reticulocalbin-2,Q8BP92,RCN2_MOUSE,"nucleolus,endoplasmic reticulum,endoplasmic reticulum lumen",,"calcium ion binding,protein binding",1.3371480708440202E-44,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,9.99084758758545,32.19844436645508,8.330503463745117,35.983856201171875,13.706256866455078,11.52864933013916,26.558399200439453,14.57977294921875
Efemp1,EGF-containing fibulin-like extracellular matrix protein 1,Q8BPB5,FBLN3_MOUSE,"proteinaceous extracellular matrix,extracellular space,extracellular exosome,extracellular matrix","regulation of transcription, DNA-templated,epidermal growth factor receptor signaling pathway,regulation of receptor activity,peptidyl-tyrosine phosphorylation,negative regulation of chondrocyte differentiation,camera-type eye development,embryonic eye morphogenesis,post-embryonic eye morphogenesis","epidermal growth factor-activated receptor activity,epidermal growth factor receptor binding,calcium ion binding,growth factor activity",2.4234710645872462E-43,Filtered,3,2,4,3,2,4,4,Filtered,3,2,4,3,2,4,4,Filtered,33.817100524902344,6.672069549560547,151.62252807617188,6.226046562194824,13.31550121307373,38.616695404052734,22.14605712890625
Scfd1,Sec1 family domain-containing protein 1,Q8BRF7,SCFD1_MOUSE,"endoplasmic reticulum membrane,Golgi-associated vesicle,cis-Golgi network,plasma membrane,Golgi transport complex,Golgi cisterna membrane,SNARE complex","cell morphogenesis,response to hypoxia,retrograde vesicle-mediated transport, Golgi to ER,post-Golgi vesicle-mediated transport,vesicle docking involved in exocytosis,phagocytosis,response to toxic substance,protein transport,regulation of protein transport,regulation of ER to Golgi vesicle-mediated transport,toxin transport,negative regulation of autophagosome assembly","syntaxin binding,protein N-terminus binding",1.5354520044099785E-83,5,4,5,4,5,5,5,5,5,4,5,4,5,5,5,5,31.84672737121582,27.374174118041992,20.032922744750977,42.050899505615234,22.092687606811523,24.096036911010742,40.915035247802734,32.59846115112305
Cpne3,Copine-3,Q8BT60,CPNE3_MOUSE,"nucleus,nucleolus,cytoplasm,mitochondrion,cytosol,plasma membrane,focal adhesion,cell junction,extracellular exosome","protein phosphorylation,positive regulation of cell migration,ERBB2 signaling pathway,cellular response to calcium ion,cellular response to growth factor stimulus","RNA binding,protein serine/threonine kinase activity,calcium-dependent phospholipid binding,receptor tyrosine kinase binding,calcium-dependent protein binding",1.556683160400759E-74,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,81.59123992919922,129.90084838867188,58.654090881347656,196.8114776611328,80.53010559082031,89.38631439208984,151.5701904296875,125.63711547851562
Gmppb,Mannose-1-phosphate guanyltransferase beta,Q8BTZ7,GMPPB_MOUSE,"cytoplasm,mitochondrion,extracellular exosome",GDP-mannose biosynthetic process,"mannose-1-phosphate guanylyltransferase activity,GTP binding",9.431856675203189E-57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.5254135131836,70.785400390625,45.66066360473633,92.45396423339844,45.44319152832031,52.23155975341797,68.99639892578125,34.67034149169922
Sec62,Translocation protein SEC62,Q8BU14,SEC62_MOUSE,"endoplasmic reticulum membrane,membrane,integral component of membrane",posttranslational protein targeting to membrane,"molecular_function,protein transporter activity",5.68408871321875E-80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,94.42485809326172,72.55522918701172,78.58470153808594,52.37788391113281,45.92401885986328,71.68122863769531,47.112701416015625,33.113792419433594
Iars,"Isoleucine--tRNA ligase, cytoplasmic",Q8BU30,SYIC_MOUSE,"cytoplasm,cytosol,membrane,aminoacyl-tRNA synthetase multienzyme complex,extracellular exosome","osteoblast differentiation,isoleucyl-tRNA aminoacylation,regulation of translational fidelity","tRNA binding,aminoacyl-tRNA editing activity,isoleucine-tRNA ligase activity,ATP binding,GTPase binding",1.698441730144123E-83,12,12,12,12,12,11,12,12,12,12,12,12,12,11,12,12,92.33753204345703,214.213134765625,90.07170104980469,180.18499755859375,88.98674011230469,98.1137924194336,204.74505615234375,192.55543518066406
Ilvbl,Acetolactate synthase-like protein,Q8BU33,ILVBL_MOUSE,"membrane,integral component of membrane",biological_process,"magnesium ion binding,transferase activity,thiamine pyrophosphate binding",3.5507418615817927E-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.439807891845703,21.221059799194336,6.833564758300781,11.306818962097168,7.346985816955566,7.081960678100586,6.753846168518066,9.522407531738281
Qdpr,Dihydropteridine reductase,Q8BVI4,DHPR_MOUSE,"cytoplasm,mitochondrion,cytosol,neuron projection,extracellular exosome","liver development,L-phenylalanine catabolic process,tetrahydrobiopterin biosynthetic process,response to aluminum ion,response to lead ion,response to glucagon,cellular response to drug,oxidation-reduction process","6,7-dihydropteridine reductase activity,protein homodimerization activity,NADPH binding,NADH binding",1.699450758165148E-66,18,18,18,17,18,18,17,18,18,18,18,17,18,18,17,18,1087.8297119140625,605.2138061523438,1171.4864501953125,158.72259521484375,1169.6103515625,1028.3553466796875,447.9384765625,646.339599609375
Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial",Q8BWF0,SSDH_MOUSE,mitochondrion,"glucose metabolic process,acetate metabolic process,succinate metabolic process,glutamate metabolic process,glutamate decarboxylation to succinate,glutamine metabolic process,glycerophospholipid metabolic process,glucosylceramide metabolic process,galactosylceramide metabolic process,glutathione metabolic process,central nervous system development,gamma-aminobutyric acid metabolic process,gamma-aminobutyric acid catabolic process,post-embryonic development,respiratory electron transport chain,neurotransmitter catabolic process,short-chain fatty acid metabolic process,protein homotetramerization,oxidation-reduction process","succinate-semialdehyde dehydrogenase (NAD+) activity,succinate-semialdehyde dehydrogenase [NAD(P)+] activity,NAD binding",4.83148797518956E-77,15,14,14,15,14,14,15,15,15,14,14,15,14,14,15,15,541.0490112304688,227.0142364501953,516.9411010742188,118.7421875,501.1505126953125,456.3650817871094,138.30979919433594,220.23744201660156
Ptges2,Prostaglandin E synthase 2,Q8BWM0,PGES2_MOUSE,"Golgi membrane,nucleus,mitochondrion,cytosol,integral component of membrane","prostaglandin biosynthetic process,cell redox homeostasis,positive regulation of transcription, DNA-templated,secretion,oxidation-reduction process","DNA binding,electron carrier activity,protein disulfide oxidoreductase activity,lyase activity,heme binding,glutathione binding,prostaglandin-E synthase activity",1.365739935353213E-76,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,166.81900024414062,88.44517517089844,159.22891235351562,98.30928039550781,147.33460998535156,102.49346923828125,76.64788818359375,72.52458190917969
Acot4,Acyl-coenzyme A thioesterase 4,Q8BWN8,ACOT4_MOUSE,peroxisome,"very long-chain fatty acid metabolic process,long-chain fatty acid metabolic process,succinyl-CoA metabolic process,acyl-CoA metabolic process,saturated monocarboxylic acid metabolic process,unsaturated monocarboxylic acid metabolic process,dicarboxylic acid metabolic process,dicarboxylic acid catabolic process,short-chain fatty acid metabolic process","succinyl-CoA hydrolase activity,receptor binding,palmitoyl-CoA hydrolase activity,acyl-CoA hydrolase activity,carboxylic ester hydrolase activity,Requires Ontology",3.869226007059833E-56,9,9,9,4,9,8,6,8,9,9,9,4,9,8,6,8,300.0708312988281,100.02800750732422,357.511474609375,26.284290313720703,335.29754638671875,260.786865234375,53.90652847290039,116.09635162353516
Acaa2,"3-ketoacyl-CoA thiolase, mitochondrial",Q8BWT1,THIM_MOUSE,"mitochondrion,mitochondrial inner membrane,extracellular exosome","fatty acid beta-oxidation,cellular response to hypoxia,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,negative regulation of mitochondrial membrane permeability involved in apoptotic process","RNA binding,acetyl-CoA C-acyltransferase activity",4.194008393727283E-74,36,34,36,36,36,35,35,36,36,34,36,36,36,35,35,36,2163.69287109375,1044.0289306640625,2443.85888671875,795.4176025390625,2283.329345703125,1883.3092041015625,672.56005859375,1197.872314453125
Pgm3,Phosphoacetylglucosamine mutase,Q8BWW3;Q9CYR6,Q8BWW3_MOUSE;AGM1_MOUSE,;cytosol,";carbohydrate metabolic process,UDP-N-acetylglucosamine biosynthetic process,protein N-linked glycosylation,protein O-linked glycosylation,spermatogenesis,glucose 1-phosphate metabolic process,hemopoiesis",";magnesium ion binding,phosphoacetylglucosamine mutase activity,phosphoglucomutase activity",1.2655738832620283E-60,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,112.51496124267578,86.19638061523438,94.95496368408203,37.367252349853516,117.15553283691406,100.58161163330078,80.49115753173828,76.22217559814453
Etf1,Eukaryotic peptide chain release factor subunit 1,Q8BWY3,ERF1_MOUSE,cytoplasm,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,protein methylation,viral process","RNA binding,translation release factor activity,sequence-specific mRNA binding",7.298442446246488E-82,8,8,8,7,8,7,8,8,8,8,8,7,8,7,8,8,141.51416015625,269.4527282714844,173.65878295898438,246.20565795898438,142.2868194580078,131.93267822265625,292.9640197753906,235.36854553222656
Kank2,KN motif and ankyrin repeat domain-containing protein 2,Q8BX02,KANK2_MOUSE,"cytoplasm,mitochondrion","negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,apoptotic process,negative regulation of cell proliferation,negative regulation of intracellular estrogen receptor signaling pathway,negative regulation of programmed cell death,negative regulation of stress fiber assembly,negative regulation of vitamin D receptor signaling pathway,negative regulation of G1/S transition of mitotic cell cycle",molecular_function,2.025847044776542E-32,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,10.831133842468262,23.987329483032227,4.069758892059326,39.36447525024414,6.408332824707031,8.577601432800293,42.64342498779297,24.509260177612305
Commd2,COMM domain-containing protein 2,Q8BXC6,COMD2_MOUSE,"cellular_component,cytoplasm","transcription, DNA-templated,regulation of transcription, DNA-templated,biological_process",molecular_function,6.117514277648603E-45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58.867042541503906,53.304229736328125,46.76062774658203,53.6942138671875,46.35736083984375,40.37479782104492,57.792762756347656,57.05889129638672
Clic5,Chloride intracellular channel protein 5,Q8BXK9,CLIC5_MOUSE,"cytoplasm,Golgi apparatus,microtubule organizing center,actin cytoskeleton,stereocilium,stereocilium bundle,chloride channel complex,extracellular exosome,nucleus","response to dietary excess,diet induced thermogenesis,chloride transport,sensory perception of sound,protein localization,regulation of ion transmembrane transport,neuromuscular process controlling balance,auditory receptor cell stereocilium organization,chloride transmembrane transport,glutathione metabolic process","voltage-gated ion channel activity,chloride channel activity,glutathione transferase activity",3.4461219481535464E-60,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,52.79033660888672,42.44120788574219,53.685218811035156,8.513818740844727,56.41855239868164,29.262163162231445,34.542236328125,32.064022064208984
Tbcd,Tubulin-specific chaperone D,Q8BYA0,TBCD_MOUSE,"cytoplasm,centrosome,microtubule,adherens junction,bicellular tight junction,lateral plasma membrane","microtubule cytoskeleton organization,mitotic cell cycle,protein folding,tubulin complex assembly,post-chaperonin tubulin folding pathway,negative regulation of cell-substrate adhesion,negative regulation of microtubule polymerization,adherens junction assembly,positive regulation of GTPase activity,cell morphogenesis involved in neuron differentiation,bicellular tight junction assembly","GTPase activator activity,beta-tubulin binding",8.887457718690382E-43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5.270586967468262,4.948263168334961,5.1271514892578125,7.240062236785889,3.6893272399902344,9.809532165527344,20.21723175048828,9.828178405761719
Slc5a8,Sodium-coupled monocarboxylate transporter 1,Q8BYF6,SC5A8_MOUSE,"integral component of membrane,apical plasma membrane,extracellular exosome","sodium ion transport,apoptotic process,transmembrane transport",symporter activity,5.834909522219649E-66,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,179.77371215820312,56.39353561401367,177.32330322265625,16.254629135131836,113.59305572509766,94.85386657714844,18.033594131469727,19.898649215698242
Ythdf3,YTH domain-containing family protein 3;Isoform 3 of YTH domain-containing family protein 3,Q8BYK6;Q8BYK6-3,YTHD3_MOUSE,"cellular_component,cytosol;","positive regulation of translation,positive regulation of translational initiation,mRNA destabilization;","RNA binding,ribosome binding,N6-methyladenosine-containing RNA binding;",4.788287440748112E-26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5.181310653686523,12.120404243469238,6.479889392852783,9.775934219360352,9.432077407836914,8.328710556030273,10.125866889953613,14.143362998962402
Slc25a21,Mitochondrial 2-oxodicarboxylate carrier,Q8BZ09,ODC_MOUSE,"mitochondrion,mitochondrial inner membrane,integral component of membrane","dicarboxylic acid transport,mitochondrial transport",dicarboxylic acid transmembrane transporter activity,1.43251575845464E-83,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,90.36483764648438,31.750513076782227,97.06077575683594,19.053516387939453,100.19371795654297,80.2164077758789,16.34029769897461,30.380062103271484
Trim47,Tripartite motif-containing protein 47;Isoform 2 of Tripartite motif-containing protein 47,Q8C0E3;Q8C0E3-2,TRI47_MOUSE,"nucleus,cytosol;",biological_process;,zinc ion binding;,3.620115332483013E-50,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,5.8192572593688965,16.063194274902344,5.608613014221191,11.619623184204102,2.32857084274292,6.730393409729004,46.72024154663086,34.47560119628906
Fam234a,Protein FAM234A,Q8C0Z1,F234A_MOUSE,"cell surface,integral component of membrane,extracellular exosome",biological_process,molecular_function,1.9557781082480987E-58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42.3714599609375,6.324495792388916,21.67292022705078,8.886261940002441,18.88624382019043,22.52483558654785,1.7441431283950806,2.5737051963806152
Pm20d1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,Q8C165,P20D1_MOUSE,"extracellular space,extracellular exosome","proteolysis,cellular amino acid metabolic process,amide biosynthetic process,cellular amide catabolic process,cellular lipid metabolic process,energy homeostasis,negative regulation of neuron death,adaptive thermogenesis,regulation of oxidative phosphorylation uncoupler activity","peptidase activity,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,lyase activity,metal ion binding",1.5455454735893414E-68,9,9,9,10,10,10,10,9,9,9,9,10,10,10,10,9,156.33340454101562,90.54345703125,138.74693298339844,339.5549621582031,152.60691833496094,140.62506103515625,50.726566314697266,85.60055541992188
Cpne1,Copine-1,Q8C166,CPNE1_MOUSE,"nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane,membrane,nuclear membrane,extracellular exosome","transcription, DNA-templated,regulation of transcription, DNA-templated,proteolysis,negative regulation of gene expression,regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of DNA binding,positive regulation of neuron differentiation,positive regulation of protein kinase B signaling,cellular response to calcium ion,negative regulation of NIK/NF-kappaB signaling,positive regulation of tumor necrosis factor-mediated signaling pathway,neuron projection extension","phosphatidylserine binding,endopeptidase activity,calcium ion binding,protein binding,protein homodimerization activity,NF-kappaB binding",3.2199756919102444E-70,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,54.251625061035156,123.18172454833984,56.898685455322266,166.07432556152344,56.43929672241211,57.47054672241211,154.2133026123047,130.21051025390625
Rbm14,RNA-binding protein 14,Q8C2Q3,RBM14_MOUSE,"nucleus,transcription factor complex,nucleolus,cytoplasm,nuclear speck","activation of innate immune response,transcription, DNA-templated,histone deacetylation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of centriole replication,SMAD protein signal transduction,centriole assembly","RNA binding,ligand-dependent nuclear receptor transcription coactivator activity",3.892426139514444E-48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28.29444122314453,52.34370040893555,40.597084045410156,50.071659088134766,39.94689178466797,36.07561111450195,67.30305480957031,59.405513763427734
Atp5c1,ATP synthase subunit gamma,Q8C2Q8,Q8C2Q8_MOUSE,,,,6.583180683914146E-73,23,23,22,23,22,23,21,23,23,23,22,23,22,23,21,23,3196.400390625,1313.8653564453125,3055.4619140625,2711.5791015625,2950.583740234375,2777.514404296875,1030.2845458984375,1528.6466064453125
Nadk2,"NAD kinase 2, mitochondrial;Isoform 2 of NAD kinase 2, mitochondrial;Isoform 3 of NAD kinase 2, mitochondrial",Q8C5H8;Q8C5H8-2;Q8C5H8-3,NAKD2_MOUSE,mitochondrion;;,"NADP biosynthetic process,phosphorylation,NAD metabolic process;;","NAD+ kinase activity,ATP binding,protein homodimerization activity;;",2.3222500757965646E-67,10,10,10,7,10,10,8,9,10,10,10,7,10,10,8,9,148.25450134277344,39.46065139770508,161.4266357421875,51.90130615234375,132.66470336914062,156.71815490722656,30.808074951171875,63.5473518371582
Clmn,Calmin;Isoform 4 of Calmin,Q8C5W0;Q8C5W0-4,CLMN_MOUSE,"cytoplasm,membrane,integral component of membrane;","negative regulation of cell proliferation,neuron projection development;","molecular_function,actin binding;",8.416070609233383E-56,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48.44045639038086,56.597023010253906,33.9005126953125,7.2363128662109375,40.44347381591797,32.71367645263672,34.39275360107422,33.67121505737305
Pfkp,"ATP-dependent 6-phosphofructokinase;ATP-dependent 6-phosphofructokinase, platelet type",Q8C605;Q9WUA3,Q8C605_MOUSE;PFKAP_MOUSE,";nucleus,cytoplasm,cytosol,6-phosphofructokinase complex,membrane,extracellular matrix,extracellular exosome",";fructose 6-phosphate metabolic process,glycolytic process through fructose-6-phosphate,cellular response to leukemia inhibitory factor",";6-phosphofructokinase activity,ATP binding,protein complex binding,cadherin binding,metal ion binding",1.4708607132217348E-77,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,137.88694763183594,191.5707244873047,142.29786682128906,171.42869567871094,137.24546813964844,98.97891998291016,252.8227996826172,140.155517578125
Mettl7a1,"MCG20149, isoform CRA_a",Q8C6B0,Q8C6B0_MOUSE,"lipid particle,integral component of membrane,extracellular exosome",methylation,methyltransferase activity,3.3169236583494284E-65,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,188.0387420654297,156.12844848632812,185.26068115234375,263.4261169433594,216.99566650390625,169.66897583007812,71.51567840576172,124.61952209472656
Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",Q8C7H1,MMAA_MOUSE,"cellular_component,mitochondrion","biological_process,cobalamin biosynthetic process","molecular_function,GTPase activity,GTP binding",7.871787610973265E-62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,61.59241485595703,9.748570442199707,72.19474029541016,19.09051513671875,64.64543914794922,36.205535888671875,8.03343677520752,15.322092056274414
Emc1,ER membrane protein complex subunit 1;Isoform 2 of ER membrane protein complex subunit 1;ER membrane protein complex subunit 1,Q8C7X2;Q8C7X2-2;Z4YJW0,EMC1_MOUSE;EMC1_MOUSE;Z4YJW0_MOUSE,"endoplasmic reticulum,integral component of membrane,ER membrane protein complex;;",protein folding in endoplasmic reticulum;;,molecular_function;;,2.270414384979298E-62,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,42.58456039428711,53.24199676513672,40.92675018310547,90.97724914550781,54.70707321166992,46.35447692871094,40.260066986083984,35.99729537963867
Efhd2,EF-hand domain-containing protein D2,Q8C845;Q9D8Y0,Q8C845_MOUSE;EFHD2_MOUSE,;membrane raft,;,";calcium ion binding,protein binding,cadherin binding",6.935786907616952E-53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18.185911178588867,85.5141830444336,22.66213607788086,127.55680084228516,15.752277374267578,46.000396728515625,126.79647827148438,90.687744140625
Plek,Pleckstrin,Q8CAG6;Q9JHK5,Q8CAG6_MOUSE;PLEK_MOUSE,";cytoplasm,membrane,ruffle membrane",";hematopoietic progenitor cell differentiation,vesicle docking involved in exocytosis,integrin-mediated signaling pathway,positive regulation of platelet activation,negative regulation of inositol phosphate biosynthetic process,positive regulation of inositol-polyphosphate 5-phosphatase activity,cell projection organization,positive regulation of actin filament depolymerization,phospholipase C-inhibiting G-protein coupled receptor signaling pathway,cortical actin cytoskeleton organization,ruffle organization,actin cytoskeleton reorganization,positive regulation of actin filament bundle assembly,positive regulation of integrin activation,negative regulation of G-protein coupled receptor protein signaling pathway,phosphatidylinositol metabolic process,regulation of cell diameter,thrombin-activated receptor signaling pathway,platelet aggregation,protein kinase C signaling,protein secretion by platelet",";protein kinase C binding,protein homodimerization activity,phosphatidylinositol-3,4-bisphosphate binding",1.0139768420281326E-54,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,12.588733673095703,12.085494995117188,8.299186706542969,127.25914764404297,4.296372890472412,27.61277198791504,39.7900390625,19.179929733276367
Immt,Isoform 2 of MICOS complex subunit Mic60,Q8CAQ8-2,MIC60_MOUSE,,,,2.881834263671481E-82,43,42,43,42,43,43,39,42,43,42,43,42,43,43,39,42,1194.6365966796875,540.0016479492188,1261.2803955078125,676.488037109375,1154.1031494140625,1061.688720703125,360.9282531738281,587.1783447265625
