Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Selo,Selenoprotein O,Q9DBC0,mitochondrion,biological_process,molecular_function,9.89E-23,4,4,4,3,4,3,2,3,4,4,4,3,4,3,2,3,13.9004097,9.866633415,6.339074135,3.738852024,9.2085886,6.142511845,1.235051394,2.273543835
Cmtr1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,Q9DBC3,"nucleus,nucleoplasm,cytosol","7-methylguanosine mRNA capping,mRNA methylation,cap1 mRNA methylation","nucleic acid binding,mRNA (nucleoside-2'-O-)-methyltransferase activity",4.63E-05,Filtered,2,Filtered,3,1,Filtered,3,4,Filtered,2,Filtered,3,1,Filtered,3,4,Filtered,16.95638466,Filtered,12.15098572,10.56854916,Filtered,29.43413162,45.24753189
Prkar1a,cAMP-dependent protein kinase type I-alpha regulatory subunit,Q9DBC7,"cytoplasm,axoneme,cAMP-dependent protein kinase complex,membrane,nucleotide-activated protein kinase complex,neuromuscular junction,protein complex,plasma membrane raft,immunological synapse","mesoderm formation,protein phosphorylation,negative regulation of protein kinase activity,female meiotic division,heart development,cell proliferation,animal organ morphogenesis,sarcomere organization,negative regulation of meiotic nuclear division,negative regulation of activated T cell proliferation,cardiac muscle cell proliferation,negative regulation of cAMP-dependent protein kinase activity","cAMP-dependent protein kinase inhibitor activity,protein binding,cAMP-dependent protein kinase regulator activity,protein domain specific binding,cAMP binding,ubiquitin protein ligase binding,protein kinase A catalytic subunit binding",1.61E-34,9,12,9,12,9,9,11,12,9,12,9,12,9,9,11,12,56.37849808,123.4697037,52.74213028,161.2179871,49.64369965,65.18650055,133.4473114,97.39148712
Ica,Inhibitor of carbonic anhydrase,Q9DBD0,"cellular_component,extracellular space",negative regulation of catalytic activity,"enzyme inhibitor activity,iron ion binding",7.92E-18,7,9,6,13,7,9,12,10,7,9,6,13,7,9,12,10,13.79603767,16.34410095,15.00017262,247.9600067,15.01059914,21.26019859,37.15919876,28.62842178
Pelp1,"Proline-, glutamic acid- and leucine-rich protein 1",Q9DBD5,"nucleus,nucleolus,cytoplasm,transcriptionally active chromatin,MLL1 complex","transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,cellular response to estrogen stimulus","chromatin binding,RNA binding,protein binding,transcription factor binding",8.16E-24,Filtered,3,1,2,Filtered,1,4,2,Filtered,3,1,2,Filtered,1,4,2,Filtered,6.66458559,1.231395602,22.0880909,Filtered,1.470456839,6.145746231,5.69525671
Csad,Cysteine sulfinic acid decarboxylase,Q9DBE0,cellular_component,"L-cysteine catabolic process to taurine,taurine metabolic process,taurine biosynthetic process","sulfinoalanine decarboxylase activity,carboxy-lyase activity,pyridoxal phosphate binding",4.36E-44,25,20,24,17,23,25,17,21,25,20,24,17,23,25,17,21,1159.923706,217.802887,1348.745972,320.2572021,1284.44458,1002.090454,164.6294098,217.4640198
Alg2,"Alpha-1,3/1,6-mannosyltransferase ALG2",Q9DBE8,"nucleus,cytoplasm,endoplasmic reticulum membrane,membrane,integral component of membrane,perinuclear region of cytoplasm","dolichol-linked oligosaccharide biosynthetic process,oligosaccharide-lipid intermediate biosynthetic process,protein glycosylation in endoplasmic reticulum,response to calcium ion,mannosylation","alpha-1,3-mannosyltransferase activity,GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity,protein heterodimerization activity,protein N-terminus binding,calcium-dependent protein binding,Requires Ontology",1.74E-10,1,2,1,1,1,1,2,1,0,0,1,1,0,1,2,1,NaN,NaN,2.240640402,0.887387514,NaN,1.461149812,5.342129707,2.759886742
Aldh7a1,Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase,Q9DBF1-2,,,,4.59E-47,44,39,41,36,41,40,41,41,44,39,41,36,41,40,41,41,895.1818848,510.0783081,913.9603271,388.4318237,876.7832642,862.5179443,324.2697144,510.1747131
Cyp27a1,"Sterol 26-hydroxylase, mitochondrial",Q9DBG1,"mitochondrion,mitochondrial inner membrane",oxidation-reduction process,"monooxygenase activity,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding",0.000176488,2,1,2,1,Filtered,Filtered,1,2,2,1,2,1,Filtered,Filtered,1,2,11.20804882,2.643410206,3.845743895,9.262594223,Filtered,Filtered,1.313373804,5.377549648
Ap2b1,AP-2 complex subunit beta;Isoform 2 of AP-2 complex subunit beta,Q9DBG3;Q9DBG3-2,"trans-Golgi network,AP-2 adaptor complex,clathrin adaptor complex;","cardiac septum development,ventricular septum development,intracellular protein transport,heart development,aorta development,clathrin coat assembly,coronary vasculature development,neurotransmitter receptor internalization;","protein binding,protein transporter activity,clathrin binding,protein complex binding;",1.02E-32,38,40,39,38,39,37,42,41,38,40,39,38,39,37,42,41,327.1099243,383.5658264,345.3155518,361.1790161,315.8685303,299.9946289,493.8650818,403.1257019
Plin3,Perilipin-3,Q9DBG5,"lipid particle,cytosol,endosome membrane,membrane",transport,"protein binding,cadherin binding",2.22E-33,14,17,14,16,16,15,17,16,14,17,14,16,16,15,17,16,47.85033035,117.0127792,36.98823929,107.2209091,53.40198517,56.35564041,165.4283142,115.3338776
Rpn2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,Q9DBG6,"autophagosome membrane,rough endoplasmic reticulum,oligosaccharyltransferase complex,membrane,integral component of membrane","protein N-linked glycosylation,aging,response to drug","ribosome binding,dolichyl-diphosphooligosaccharide-protein glycotransferase activity",4.18E-37,21,19,19,20,19,20,18,20,21,19,19,20,19,20,18,20,230.274765,277.0046692,213.7108765,501.2053528,242.3199005,246.2176056,304.2860107,297.5652161
Srpra,Signal recognition particle receptor subunit alpha,Q9DBG7,"signal recognition particle receptor complex,membrane,extracellular exosome",SRP-dependent cotranslational protein targeting to membrane,"RNA binding,GTPase activity,signal recognition particle binding,GTP binding",2.52E-06,5,7,5,4,5,5,7,6,5,7,5,4,5,5,7,6,63.28623199,61.87592316,30.35222244,92.56023407,41.2089386,52.70764923,71.62553406,45.86486053
Tax1bp3,Tax1-binding protein 3,Q9DBG9,"fibrillar center,nucleus,cytoplasm,plasma membrane,actin cytoskeleton,intracellular membrane-bounded organelle,extracellular exosome","Rho protein signal transduction,negative regulation of cell proliferation,Wnt signaling pathway,negative regulation of Wnt signaling pathway,activation of GTPase activity,negative regulation of protein localization to cell surface","protein binding,beta-catenin binding,protein C-terminus binding",7.58E-31,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,32.92060471,129.1079102,19.1643486,84.64241028,36.06672287,9.531126022,112.6362762,102.405365
Lman2,Vesicular integral-membrane protein VIP36,Q9DBH5,"Golgi membrane,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,Golgi apparatus,integral component of plasma membrane,cell surface,extracellular exosome","retrograde vesicle-mediated transport, Golgi to ER,protein transport,positive regulation of phagocytosis","mannose binding,carbohydrate binding,heat shock protein binding,metal ion binding",6.21E-34,13,13,14,14,15,14,14,12,13,13,14,14,15,14,14,12,251.4769287,244.0827484,265.8876953,397.0935974,273.7250061,261.2132263,191.0692902,239.0214691
Pgam1,Phosphoglycerate mutase 1,Q9DBJ1,"nucleus,cytoplasm,cytosol,membrane,myelin sheath,extracellular exosome","gluconeogenesis,glycolytic process,regulation of glycolytic process,regulation of pentose-phosphate shunt,respiratory burst","bisphosphoglycerate mutase activity,phosphoglycerate mutase activity,hydrolase activity,protein kinase binding,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity",4.06E-34,23,22,23,22,23,23,23,23,23,22,23,22,23,23,23,23,1335.672241,1058.775024,1383.398193,1035.221924,1316.887695,1325.542603,1039.608765,1079.871338
Acot12,Acyl-coenzyme A thioesterase 12,Q9DBK0,cytosol,"acetyl-CoA metabolic process,pyruvate metabolic process,fatty acid metabolic process","acetyl-CoA hydrolase activity,ATP binding,lipid binding,acyl-CoA hydrolase activity,carboxylic ester hydrolase activity",3.37E-41,19,17,20,13,20,19,14,16,19,17,20,13,20,19,14,16,221.135788,89.54927826,288.2520752,72.64531708,231.8256378,228.4869843,41.69476318,98.13657379
Acadsb,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Q9DBL1,"mitochondrion,mitochondrial matrix,extracellular exosome","fatty acid metabolic process,acyl-CoA metabolic process,oxidation-reduction process","acyl-CoA dehydrogenase activity,short-branched-chain-acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",9.36E-50,21,18,21,19,21,21,17,19,21,18,21,19,21,21,17,19,644.1900024,148.062851,576.1817627,279.8231201,566.670105,543.9802246,113.5891266,133.1825104
Coasy,Bifunctional coenzyme A synthase,Q9DBL7,"mitochondrial matrix,extracellular exosome","coenzyme A biosynthetic process,phosphorylation","dephospho-CoA kinase activity,pantetheine-phosphate adenylyltransferase activity,ATP binding",7.88E-42,26,24,26,23,26,26,23,25,26,24,26,23,26,26,23,25,961.9951172,377.4675903,924.5962524,288.9196167,861.2529297,888.0948486,245.5187836,382.0903931
Ehhadh,Peroxisomal bifunctional enzyme,Q9DBM2,"mitochondrion,peroxisome,cytosol","internal protein amino acid acetylation,fatty acid beta-oxidation,acyl-CoA metabolic process","3-hydroxyacyl-CoA dehydrogenase activity,dodecenoyl-CoA delta-isomerase activity,enoyl-CoA hydratase activity,receptor binding,enzyme binding",8.59E-49,97,84,94,64,96,96,81,88,97,84,94,64,96,96,81,88,10554.31641,3739.111328,12219.00684,1686.680664,12671.70605,9113.050781,1612.187622,3624.416992
Lonp2,"Lon protease homolog 2, peroxisomal;Isoform 2 of Lon protease homolog 2, peroxisomal",Q9DBN5;Q9DBN5-2,"nucleus,cytoplasm,peroxisome,peroxisomal matrix,membrane;","misfolded or incompletely synthesized protein catabolic process,protein targeting to peroxisome,response to organic cyclic compound,protein processing,regulation of fatty acid beta-oxidation;","protease binding,ATP-dependent peptidase activity,serine-type endopeptidase activity,receptor binding,protein binding,ATP binding,peptidase activity,enzyme binding;",0.000236335,2,1,2,1,2,2,1,1,2,1,2,0,2,2,0,1,3.386332273,1.515361309,3.32901454,NaN,1.801850915,1.805037737,NaN,3.148933411
Cmpk1,UMP-CMP kinase,Q9DBP5,"nucleus,nucleolus,cytoplasm,extracellular exosome","nucleoside diphosphate phosphorylation,'de novo' pyrimidine nucleobase biosynthetic process,pyrimidine nucleotide biosynthetic process,nucleoside triphosphate biosynthetic process,nucleoside monophosphate phosphorylation","cytidylate kinase activity,nucleoside diphosphate kinase activity,ATP binding,uridylate kinase activity,nucleoside phosphate kinase activity",8.96E-42,13,13,13,13,14,13,13,13,13,13,13,13,14,13,13,13,1117.175049,1012.401672,873.2888184,559.0726318,952.2171631,897.3659668,840.7073364,1023.455688
Akap8,A-kinase anchor protein 8,Q9DBR0,"nuclear chromatin,condensed chromosome,female pronucleus,nucleus,nucleoplasm,nucleolus,mitochondrion,Golgi apparatus,membrane,nuclear matrix","transcription, DNA-templated,regulation of transcription, DNA-templated,mitotic chromosome condensation,protein transport,positive regulation of histone deacetylation,negative regulation of tumor necrosis factor production,regulation of histone phosphorylation,cell cycle G2/M phase transition,innate immune response,cellular response to lipopolysaccharide,cellular response to prostaglandin E stimulus","chromatin binding,double-stranded DNA binding,RNA binding,protein binding,zinc ion binding,protein kinase A regulatory subunit binding,histone deacetylase binding,NF-kappaB binding,DEAD/H-box RNA helicase binding",1.99E-19,4,5,4,4,4,1,5,5,4,5,4,4,4,0,5,5,2.289635181,5.05915308,2.601565599,5.979351044,3.018429995,NaN,5.299028873,6.533461094
Xrn2,5'-3' exoribonuclease 2;Isoform 2 of 5'-3' exoribonuclease 2,Q9DBR1;Q9DBR1-2,"nucleus,nucleolus,membrane,aggresome;","DNA catabolic process, exonucleolytic,DNA repair,DNA recombination,DNA-templated transcription, termination,regulation of transcription, DNA-templated,mRNA processing,microtubule-based process,spermatogenesis,cell growth,RNA metabolic process,hippocampus development,neuron differentiation,retina development in camera-type eye,RNA phosphodiester bond hydrolysis, exonucleolytic;","3'-5'-exoribonuclease activity,transcription termination site sequence-specific DNA binding,RNA binding,5'-3' exoribonuclease activity,protein binding,5'-3' exonuclease activity,metal ion binding;",8.01E-35,6,6,4,7,5,4,7,7,6,6,4,7,5,4,7,7,4.736068726,16.44233322,7.693374634,14.23775101,5.924998283,7.340765953,26.81409264,13.17648888
Ppp1r12a,Protein phosphatase 1 regulatory subunit 12A;Isoform 2 of Protein phosphatase 1 regulatory subunit 12A,Q9DBR7;Q9DBR7-2,"kinetochore,centrosome,cytosol,focal adhesion,actin cytoskeleton,Z disc,A band,contractile fiber,PTW/PP1 phosphatase complex;","mitotic cell cycle,protein dephosphorylation,centrosome cycle,signal transduction,regulation of cell adhesion,regulation of myosin-light-chain-phosphatase activity,positive regulation of myosin-light-chain-phosphatase activity,cellular response to drug,negative regulation of catalytic activity,positive regulation of transcription from RNA polymerase II promoter,regulation of nucleocytoplasmic transport;","enzyme inhibitor activity,protein binding,phosphatase regulator activity,protein kinase binding,14-3-3 protein binding;",7.94E-68,12,13,12,12,9,7,13,12,12,13,12,12,9,7,13,12,24.86378098,23.64935684,24.81638527,26.59704971,20.78209114,13.71920967,30.50191307,21.77370262
Tmem43,Transmembrane protein 43,Q9DBS1,"nuclear inner membrane,integral component of nuclear inner membrane,endoplasmic reticulum lumen,Golgi apparatus",nuclear membrane organization,protein self-association,3.87E-41,8,9,5,9,8,5,11,9,8,9,5,9,8,5,11,9,10.85752964,41.83215332,9.14832592,57.33599472,5.87445116,15.83013248,43.58579254,34.49065781
Klc4,Kinesin light chain 4,Q9DBS5,"cellular_component,cytoplasm,kinesin complex,microtubule",biological_process,"molecular_function,microtubule motor activity",5.83E-31,12,12,12,6,12,13,11,12,12,12,12,6,12,13,11,12,28.22234535,24.20903206,26.35307693,10.39332771,20.28980446,26.94252777,24.35984039,24.92720795
Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial",Q9DBT9,"mitochondrion,mitochondrial matrix","amino-acid betaine catabolic process,choline catabolic process,oxidation-reduction process","RNA binding,dimethylglycine dehydrogenase activity",1.13E-62,34,33,35,27,35,34,25,29,34,33,35,27,35,34,25,29,336.7202148,118.3692169,370.3725586,128.8645172,359.6004333,391.0285339,69.19675446,119.3654785
Susd2,Sushi domain-containing protein 2,Q9DBX3,"plasma membrane,integral component of membrane,extracellular exosome","receptor-mediated endocytosis,immune response,negative regulation of cell division,negative regulation of cell cycle G1/S phase transition","molecular_function,scavenger receptor activity,polysaccharide binding",7.74E-40,20,20,19,20,20,21,19,21,20,20,19,20,20,21,19,21,722.7627563,634.7996826,611.6870728,1064.855347,677.2322998,710.1629639,313.2296143,679.3233643
Eif3k,Eukaryotic translation initiation factor 3 subunit K,Q9DBZ5,"nucleus,cytosol,eukaryotic translation initiation factor 3 complex,membrane,extracellular exosome","translational initiation,regulation of translational initiation","RNA binding,ribosome binding,translation initiation factor activity",2.62E-29,7,8,7,6,7,7,7,7,7,8,7,6,7,7,7,7,74.1815567,96.7220459,49.48116302,64.33235931,54.8697319,41.84580612,89.09853363,64.11808777
Ergic1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,Q9DC16,"Golgi membrane,nucleoplasm,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment,membrane,integral component of membrane,endoplasmic reticulum-Golgi intermediate compartment membrane,intracellular membrane-bounded organelle",ER to Golgi vesicle-mediated transport,molecular_function,2.02E-16,5,5,4,6,5,5,6,6,5,5,4,6,5,5,6,6,35.9093132,28.68305779,21.51265144,36.69848633,20.04752159,16.27687263,28.27683067,30.46528244
Dnajc10,DnaJ homolog subfamily C member 10,Q9DC23,"endoplasmic reticulum,endoplasmic reticulum lumen,membrane,endoplasmic reticulum chaperone complex","negative regulation of protein phosphorylation,ER-associated ubiquitin-dependent protein catabolic process,positive regulation of ATPase activity,protein folding in endoplasmic reticulum,response to endoplasmic reticulum stress,cell redox homeostasis,oxidation-reduction process,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","ATPase activator activity,protein binding,protein disulfide oxidoreductase activity,disulfide oxidoreductase activity,oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor,Hsp70 protein binding,chaperone binding,ATPase binding,misfolded protein binding",0.000205781,2,3,1,3,Filtered,3,2,3,2,3,1,3,Filtered,3,2,3,7.357288837,5.908366203,5.962618351,16.10527229,Filtered,3.143566847,5.537395477,3.597595215
Csnk1d,Casein kinase I isoform delta;Isoform 2 of Casein kinase I isoform delta,Q9DC28;Q9DC28-2,"nucleus,nucleoplasm,cytoplasm,Golgi apparatus,centrosome,spindle,cytosol,spindle microtubule,plasma membrane,neuron projection,perinuclear region of cytoplasm;","positive regulation of protein phosphorylation,protein phosphorylation,endocytosis,microtubule nucleation,Golgi organization,circadian rhythm,regulation of cell shape,Wnt signaling pathway,peptidyl-serine phosphorylation,positive regulation of Wnt signaling pathway,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,circadian regulation of gene expression,protein localization to Golgi apparatus,regulation of circadian rhythm,spindle assembly,protein localization to cilium,protein localization to centrosome,positive regulation of canonical Wnt signaling pathway,positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation,Requires Ontology,cellular response to nerve growth factor stimulus,positive regulation of non-canonical Wnt signaling pathway;","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,peptide binding,cadherin binding,tau-protein kinase activity;",0.000911559,2,3,1,2,2,1,2,3,2,3,1,2,2,1,2,3,6.735347748,18.35309982,6.055017948,3.997452021,12.515872,1.885234594,3.774042368,5.982672691
Crot,Peroxisomal carnitine O-octanoyltransferase,Q9DC50,"mitochondrion,peroxisome,intracellular membrane-bounded organelle","generation of precursor metabolites and energy,fatty acid metabolic process,fatty acid beta-oxidation,carnitine metabolic process,fatty acid transport,coenzyme A metabolic process,medium-chain fatty acid metabolic process","receptor binding,carnitine O-octanoyltransferase activity",4.97E-64,48,41,48,38,47,46,40,41,48,41,48,38,47,46,40,41,922.456665,188.6820221,1092.962891,149.6514435,947.8206787,708.4768677,121.4058609,207.8085175
Gnai3,Guanine nucleotide-binding protein G(k) subunit alpha,Q9DC51,"nucleus,nucleolus,cytoplasm,lysosomal membrane,Golgi apparatus,centrosome,heterotrimeric G-protein complex,plasma membrane,membrane,midbody,zymogen granule,membrane raft,extracellular exosome,Golgi membrane,endoplasmic reticulum membrane","vesicle fusion,cell cycle,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,dopamine receptor signaling pathway,positive regulation of macroautophagy,GTP metabolic process,cell division,regulation of heart contraction","G-protein coupled receptor binding,GTPase activity,signal transducer activity,protein binding,GTP binding,GDP binding,protein domain specific binding,G-protein beta/gamma-subunit complex binding,G-protein coupled serotonin receptor binding,GTPase activating protein binding,metal ion binding",8.22E-46,12,11,11,12,12,12,12,12,12,11,11,12,12,12,12,12,142.396759,86.78082275,129.7111664,137.0751648,145.1342621,114.7090302,111.8601303,103.2496643
Pmpca,Mitochondrial-processing peptidase subunit alpha,Q9DC61,"extracellular space,mitochondrion,mitochondrial inner membrane,mitochondrial matrix",protein processing involved in protein targeting to mitochondrion,"metalloendopeptidase activity,zinc ion binding",1.18E-70,18,16,16,14,17,15,16,17,18,16,16,14,17,15,16,17,189.4570007,92.88577271,179.6673889,108.8997421,169.4826355,170.0919189,79.90223694,100.370369
Ndufs7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",Q9DC70,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,neuron projection,neuronal cell body,synaptic membrane","mitochondrial respiratory chain complex I assembly,oxidation-reduction process","protease binding,NADH dehydrogenase (ubiquinone) activity,metal ion binding,quinone binding,4 iron, 4 sulfur cluster binding,NADH dehydrogenase activity",1.70E-46,10,9,8,9,8,8,8,8,10,9,8,9,8,8,8,8,894.8743286,324.9407959,956.489563,604.5305176,912.5703125,605.5199585,293.2923584,300.2294922
Mrps15,"28S ribosomal protein S15, mitochondrial",Q9DC71,"nucleus,nucleolus,mitochondrion,mitochondrial ribosome,mitochondrial small ribosomal subunit",mitochondrial translation,"RNA binding,structural constituent of ribosome",1.20E-40,4,4,4,2,4,3,3,4,4,4,4,2,4,3,3,4,26.34318161,35.84996414,37.8875618,26.53559875,37.76606369,42.45588303,10.0932827,14.5191555
Isca2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",Q9DCB8,mitochondrion,"iron-sulfur cluster assembly,protein maturation,protein maturation by iron-sulfur cluster transfer","structural molecule activity,iron ion binding,2 iron, 2 sulfur cluster binding,4 iron, 4 sulfur cluster binding",3.02E-23,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,4,31.3462944,15.29736996,27.15170097,10.17951202,15.97232723,28.93940735,12.42877293,12.46097469
Pycrl,Pyrroline-5-carboxylate reductase 3,Q9DCC4,cytosol,"cytidine deamination,oxidation-reduction process,L-proline biosynthetic process","cytidine deaminase activity,pyrroline-5-carboxylate reductase activity,protein binding,identical protein binding",1.68E-42,6,6,6,5,7,5,6,5,6,6,6,5,7,5,6,5,46.69371414,39.2399292,56.11378098,30.76481438,58.25415421,55.61645889,33.9545517,41.44498444
Isoc2b,Isochorismatase domain-containing protein 2B,Q9DCC7,"nucleus,mitochondrion","biological_process,metabolic process","molecular_function,catalytic activity",2.08E-45,2,2,2,2,1,2,3,2,2,2,2,2,1,2,3,2,37.62378311,7.298673153,32.6242981,10.60862541,24.0582428,10.45115662,6.027285576,4.002392769
Tomm20,Mitochondrial import receptor subunit TOM20 homolog,Q9DCC8,"mitochondrion,mitochondrial envelope,mitochondrial outer membrane,mitochondrial outer membrane translocase complex,extracellular matrix,integral component of mitochondrial outer membrane,ER-mitochondrion membrane contact site","protein targeting to mitochondrion,tRNA import into mitochondrion,protein import into mitochondrial matrix,mitochondrial outer membrane translocase complex assembly","P-P-bond-hydrolysis-driven protein transmembrane transporter activity,mitochondrion targeting sequence binding,unfolded protein binding,protein channel activity",3.44E-18,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,36.75117111,19.33343124,25.60442924,5.76166153,28.2848835,43.00549316,10.6867218,12.9394722
Pgd,"6-phosphogluconate dehydrogenase, decarboxylating",Q9DCD0,"nucleus,cytoplasm,extracellular exosome","pentose-phosphate shunt,pentose-phosphate shunt, oxidative branch,pentose biosynthetic process,D-gluconate metabolic process,oxidation-reduction process",phosphogluconate dehydrogenase (decarboxylating) activity,5.27E-59,30,32,27,30,28,29,31,31,30,32,27,30,28,29,31,31,605.5321655,1225.838379,597.913147,1319.733887,557.3052979,684.1568604,1275.406494,1194.502686
Eif3f,Eukaryotic translation initiation factor 3 subunit F,Q9DCH4,"eukaryotic translation initiation factor 3 complex,membrane,eukaryotic translation initiation factor 3 complex, eIF3m","translational initiation,protein deubiquitination,IRES-dependent viral translational initiation","thiol-dependent ubiquitin-specific protease activity,protein binding,translation initiation factor binding,translation initiation factor activity",6.47E-44,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,109.1147995,116.0246506,128.6799774,219.7062378,121.1210632,75.71376801,180.9274902,134.674881
Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,Q9DCJ5,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,mitochondrial intermembrane space","mitochondrial electron transport, NADH to ubiquinone,mitochondrial respiratory chain complex I assembly",protein complex binding,5.87E-32,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,900.5132446,419.6516724,882.6698608,573.7995605,866.2486572,788.8982544,274.1603394,386.575531
Npl,N-acetylneuraminate lyase,Q9DCJ9,"cellular_component,cytoplasm","carbohydrate metabolic process,N-acetylneuraminate catabolic process","N-acetylneuraminate lyase activity,identical protein binding",2.12E-43,19,19,21,18,20,19,20,20,19,19,21,18,20,19,20,20,273.9674988,280.1495056,297.6600037,109.9410172,320.2136536,338.4833679,292.1875,327.3947144
Paics,Multifunctional protein ADE2,Q9DCL9,"cytoplasm,membrane,extracellular exosome",'de novo' IMP biosynthetic process,"phosphoribosylaminoimidazole carboxylase activity,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,ATP binding,identical protein binding,cadherin binding",2.49E-51,24,23,24,22,23,24,24,23,24,23,24,22,23,24,24,23,464.986908,412.3097229,460.2775574,370.1688843,445.9115295,370.7347107,370.5177307,316.7621155
Ethe1,"Persulfide dioxygenase ETHE1, mitochondrial",Q9DCM0,"nucleoplasm,cytoplasm,mitochondrion,mitochondrial matrix","glutathione metabolic process,oxidation-reduction process,hydrogen sulfide metabolic process","iron ion binding,sulfur dioxygenase activity",1.61E-48,17,17,17,16,16,17,17,17,17,17,17,16,16,17,17,17,867.8920898,592.2810669,954.0805664,191.4747314,875.5895386,861.0598145,373.9328003,633.6345825
