PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
7.53E-66,Txnl1,Thioredoxin-like protein 1,Q8CDN6,TXNL1_MOUSE,"proteasome complex,nucleus,cytoplasm,cytosol,extracellular exosome","cellular response to oxidative stress,cell redox homeostasis,oxidation-reduction process,cellular oxidant detoxification","thioredoxin-disulfide reductase activity,protein disulfide oxidoreductase activity,disulfide oxidoreductase activity,oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor,protein-disulfide reductase activity",10,11,11,11,11,11,10,0,11,11,11,11,11,11,11,11,89.22202301,163.4476013,69.86634827,128.7430725,85.09732056,150.0774231,81.25926208,24.13882828
2.48E-32,Lamtor4,Ragulator complex protein LAMTOR4,Q8CF66,LTOR4_MOUSE,"lysosome,intracellular membrane-bounded organelle,Ragulator complex","regulation of cell size,positive regulation of TOR signaling,positive regulation of GTPase activity,protein localization to lysosome,cellular response to amino acid stimulus","guanyl-nucleotide exchange factor activity,protein complex scaffold",2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,30.16392708,35.50597763,30.77583122,46.54557037,26.63319016,32.34066772,23.12432671,1.709491611
2.38E-47,Amt,"Aminomethyltransferase, mitochondrial",Q8CFA2,GCST_MOUSE,"nucleoplasm,mitochondrion","glycine decarboxylation via glycine cleavage system,methylation","aminomethyltransferase activity,transaminase activity",4,4,4,1,4,3,4,0,4,4,4,4,4,4,4,4,80.92831421,58.32168579,70.45640564,12.75816536,92.27780151,64.80963135,81.66149902,3.45615077
3.09E-06,Slc25a45,Solute carrier family 25 member 45,Q8CFJ7,S2545_MOUSE,"mitochondrion,mitochondrial inner membrane,integral component of membrane","mitochondrial transport,transmembrane transport,mitochondrial ornithine transport","transmembrane transporter activity,L-ornithine transmembrane transporter activity",3,2,3,3,2,2,2,0,3,3,3,3,3,3,3,3,11.33764648,5.515380383,12.87868404,11.48245335,5.694118023,7.206129074,7.699804306,3.77208519
3.39E-06,Rfk,Riboflavin kinase,Q8CFV9,RIFK_MOUSE,mitochondrion,"apoptotic process,riboflavin biosynthetic process,FMN biosynthetic process,phosphorylation,positive regulation of NAD(P)H oxidase activity,reactive oxygen species metabolic process","protein binding,ATP binding,riboflavin kinase activity,metal ion binding",2,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,13.41063786,17.34942245,13.11121178,16.46113205,11.44126701,11.23043442,10.76064777,1.393642068
1.32E-63,Akr7a2,Aflatoxin B1 aldehyde reductase member 2,Q8CG76,ARK72_MOUSE,"mitochondrion,Golgi apparatus,cytosol,extracellular exosome","daunorubicin metabolic process,doxorubicin metabolic process,oxidation-reduction process","oxidoreductase activity,phenanthrene-9,10-epoxide hydrolase activity",20,20,20,18,20,20,20,4,20,20,20,20,20,20,20,20,224.6276703,139.1487885,245.7272491,69.66059113,237.1629486,140.093399,223.187027,9.536613464
7.18E-15,Slc43a2,Large neutral amino acids transporter small subunit 4,Q8CGA3,LAT4_MOUSE,"plasma membrane,integral component of plasma membrane","neutral amino acid transport,L-amino acid transport,L-alpha-amino acid transmembrane transport","neutral amino acid transmembrane transporter activity,L-amino acid transmembrane transporter activity",2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,17.40589142,10.76414108,24.53946686,14.17977047,20.40139771,8.404317856,13.19557953,1.030296564
3.74E-55,Eprs,Bifunctional glutamate/proline--tRNA ligase,Q8CGC7,SYEP_MOUSE,"cytoplasm,cytosol,membrane,aminoacyl-tRNA synthetase multienzyme complex,intracellular ribonucleoprotein complex,GAIT complex","glutamyl-tRNA aminoacylation,prolyl-tRNA aminoacylation,negative regulation of translation,cellular response to interferon-gamma","glutamate-tRNA ligase activity,proline-tRNA ligase activity,ATP binding,zinc ion binding,RNA stem-loop binding,protein homodimerization activity,GTPase binding",28,29,27,29,27,30,28,0,30,30,30,30,30,30,30,30,40.0203476,66.45709229,37.02193069,56.60804749,38.9439621,65.59819031,39.99996948,10.42249489
1.52E-70,Lonp1,"Lon protease homolog, mitochondrial",Q8CGK3,LONM_MOUSE,"nucleus,nucleoplasm,mitochondrion,mitochondrial matrix,cytosol,membrane,mitochondrial nucleoid","response to hypoxia,proteolysis,misfolded or incompletely synthesized protein catabolic process,mitochondrion organization,aging,response to hormone,response to aluminum ion,cellular response to oxidative stress,cellular protein complex assembly,protein homooligomerization,proteolysis involved in cellular protein catabolic process,oxidation-dependent protein catabolic process","single-stranded DNA binding,single-stranded RNA binding,ATP-dependent peptidase activity,serine-type endopeptidase activity,ATP binding,ATPase activity,ADP binding,sequence-specific DNA binding,G-quadruplex DNA binding,DNA polymerase binding,mitochondrial light strand promoter anti-sense binding,mitochondrial heavy strand promoter anti-sense binding,mitochondrial light strand promoter sense binding,mitochondrial heavy strand promoter sense binding",26,25,26,20,26,27,24,0,27,27,27,27,27,27,27,27,223.7675171,139.0007629,202.4340515,104.3858566,223.6730499,156.1023865,203.2756958,15.77553558
3.25E-27,Plin1,Perilipin-1,Q8CGN5,PLIN1_MOUSE,"endoplasmic reticulum,lipid particle,cytosol","lipid catabolic process,triglyceride catabolic process",protein binding,0,0,1,3,0,4,2,0,4,4,4,4,4,4,4,4,3.278430223,2.18354249,2.548597336,3.058964252,2.069618225,10.48718166,2.425179958,1.887777328
2.67E-06,Ccar1,Cell division cycle and apoptosis regulator protein 1;Isoform 3 of Cell division cycle and apoptosis regulator protein 1,Q8CH18;Q8CH18-3,CCAR1_MOUSE,"nuclear envelope lumen,perinuclear region of cytoplasm;","transcription, DNA-templated,regulation of transcription, DNA-templated,apoptotic process,cell cycle,positive regulation of cell proliferation,positive regulation of cell migration,positive regulation of apoptotic process,negative regulation of nucleic acid-templated transcription;","core promoter binding,transcription coactivator activity,transcription corepressor activity,RNA binding,protein binding,ligand-dependent nuclear receptor transcription coactivator activity;",5,5,5,5,5,6,2,0,6,6,6,6,6,6,6,6,10.34611607,14.76962376,11.10020447,19.64510536,7.152466774,19.8498764,6.776362896,3.691779613
2.65E-52,Pgp,Glycerol-3-phosphate phosphatase,Q8CHP8,PGP_MOUSE,cytosol,"glycerol biosynthetic process,glycerophospholipid metabolic process,dephosphorylation,peptidyl-tyrosine dephosphorylation,negative regulation of gluconeogenesis","glycerol-1-phosphatase activity,magnesium ion binding,protein tyrosine phosphatase activity,phosphoglycolate phosphatase activity,glycerol-3-phosphatase activity,nucleotide phosphatase activity, acting on free nucleotides",8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,52.40959167,49.79582977,53.61030579,40.65881729,52.5705986,47.50000381,50.09960175,6.417481422
8.74E-95,Aldh4a1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Q8CHT0,AL4A1_MOUSE,"mitochondrion,mitochondrial matrix","proline catabolic process to glutamate,oxidation-reduction process","1-pyrroline-5-carboxylate dehydrogenase activity,aldehyde dehydrogenase (NAD) activity,identical protein binding",25,26,26,23,27,26,26,3,27,27,27,27,27,27,27,27,642.9848022,292.9952393,669.4991455,142.2186432,732.8710327,296.2982178,625.8156128,10.25340748
1.70E-79,Pdlim5,PDZ and LIM domain protein 5,Q8CI51,PDLI5_MOUSE,"cytosol,cell-cell adherens junction,postsynaptic density,actin cytoskeleton,Z disc,neuron projection,postsynaptic membrane","regulation of synapse assembly,regulation of dendritic spine morphogenesis,cell-cell adhesion","protein binding,metal ion binding,cadherin binding involved in cell-cell adhesion",16,16,14,16,16,16,15,0,16,16,16,16,16,16,16,16,41.43183517,107.6244431,33.90776825,114.7117691,41.99274445,111.6989365,40.61646271,9.589062691
5.40E-25,Pygb,"Glycogen phosphorylase, brain form",Q8CI94,PYGB_MOUSE,"cytoplasm,membrane,axon,extracellular exosome",glycogen catabolic process,"glycogen phosphorylase activity,pyridoxal phosphate binding,Requires Ontology",12,13,12,13,12,12,12,0,13,13,13,13,13,13,13,13,36.73351288,51.54729843,33.62343216,88.20896149,29.37063026,65.08015442,37.54750824,5.870494366
9.90E-55,Fermt2,Fermitin family homolog 2,Q8CIB5,FERM2_MOUSE,"nucleus,nucleoplasm,cytoplasm,focal adhesion,cell cortex,cell surface,extrinsic component of cytoplasmic side of plasma membrane,lamellipodium membrane,I band,stress fiber,filamentous actin","cell-matrix adhesion,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,regulation of cell shape,Wnt signaling pathway,integrin activation,substrate adhesion-dependent cell spreading,focal adhesion assembly,protein localization to membrane","phosphatidylinositol-3,4,5-trisphosphate binding",19,19,19,19,18,19,19,0,20,20,20,20,20,20,20,20,20.97943878,29.99013329,20.65280533,33.13273621,17.98673058,33.13040924,20.34102249,4.244478703
6.14E-48,Pak2,Serine/threonine-protein kinase PAK 2,Q8CIN4,PAK2_MOUSE,"nucleus,cytoplasm,cytosol,membrane,perinuclear region of cytoplasm","protein phosphorylation,apoptotic process,Rho protein signal transduction,regulation of mitotic cell cycle,phosphorylation,cell migration,peptidyl-serine phosphorylation,signal transduction by protein phosphorylation,actin cytoskeleton organization,stress-activated protein kinase signaling cascade,activation of protein kinase activity,regulation of growth,negative regulation of apoptotic process,regulation of MAPK cascade,protein autophosphorylation,positive regulation of peptidyl-tyrosine phosphorylation,dendritic spine development,positive regulation of protein tyrosine kinase activity,cellular response to organic cyclic compound,positive regulation of extrinsic apoptotic signaling pathway,negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,protein tyrosine kinase activator activity,small GTPase binding,identical protein binding,cadherin binding,Rac GTPase binding",10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,27.27632141,57.76104355,20.9972496,59.24635696,24.01669693,58.30338287,30.06645203,5.630228519
1.10E-24,Hmgcs1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",Q8JZK9,HMCS1_MOUSE,cytoplasm,"cholesterol biosynthetic process,isoprenoid biosynthetic process",hydroxymethylglutaryl-CoA synthase activity,6,5,6,4,5,5,5,0,6,6,6,6,6,6,6,6,21.66853523,29.20432091,30.17383575,14.53203583,25.01009369,15.2506237,17.48797989,4.538161755
6.29E-23,Csde1,Cold shock domain-containing protein E1,Q8JZN2;Q91W50,Q8JZN2_MOUSE;CSDE1_MOUSE,";mitochondrial inner membrane,Golgi apparatus,cytosol,plasma membrane,CRD-mediated mRNA stability complex",";regulation of transcription, DNA-templated,nuclear-transcribed mRNA catabolic process, no-go decay",";DNA binding,RNA binding",9,11,10,11,10,11,9,0,11,11,11,11,11,11,11,11,10.08461761,17.82050896,9.099727631,19.60383224,10.13916016,17.63685417,10.85764027,4.222506046
8.45E-43,Acad9,"Acyl-CoA dehydrogenase family member 9, mitochondrial",Q8JZN5,ACAD9_MOUSE,"nucleus,mitochondrion,dendrite,mitochondrial membrane","long-chain fatty acid metabolic process,mitochondrial respiratory chain complex I assembly,medium-chain fatty acid metabolic process,oxidation-reduction process","long-chain-acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding,medium-chain-acyl-CoA dehydrogenase activity",22,19,23,22,21,20,20,0,23,23,23,23,23,23,23,23,120.4049149,79.66202545,148.2519379,96.3011322,136.1525421,67.65898132,120.1868134,15.40546799
6.45E-09,Rhot2,Mitochondrial Rho GTPase 2,Q8JZN7,MIRO2_MOUSE,"mitochondrion,mitochondrial inner membrane,membrane,integral component of mitochondrial outer membrane,extracellular exosome","cellular homeostasis,mitochondrion transport along microtubule,mitochondrial outer membrane permeabilization","GTPase activity,calcium ion binding,GTP binding",2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,22.07914543,14.63210011,25.07800674,15.32893467,18.4585762,15.09249496,17.55755615,1.875737309
2.70E-61,Afg3l2,AFG3-like protein 2,Q8JZQ2,AFG32_MOUSE,"mitochondrion,mitochondrial inner membrane,m-AAA complex","proteolysis,mitochondrion organization,axonogenesis,neuromuscular junction development,mitochondrial fusion,nerve development,mitochondrial protein processing,calcium ion transmembrane import into mitochondrion,regulation of multicellular organism growth,cristae formation,myelination,muscle fiber development,mitochondrial calcium ion homeostasis,righting reflex","metalloendopeptidase activity,ATP binding,metallopeptidase activity,zinc ion binding",10,10,11,10,11,11,11,0,11,11,11,11,11,11,11,11,65.81817627,45.82245255,70.89373779,46.26337051,62.61922836,46.20879745,60.87868881,5.806052208
1.30E-45,Eif3b,Eukaryotic translation initiation factor 3 subunit B,Q8JZQ9,EIF3B_MOUSE,"eukaryotic translation initiation factor 3 complex,extracellular exosome,eukaryotic translation initiation factor 3 complex, eIF3m","translational initiation,regulation of translational initiation,IRES-dependent viral translational initiation,viral translational termination-reinitiation","RNA binding,translation initiation factor activity,protein binding,translation initiation factor binding",14,13,14,11,13,14,13,0,14,14,14,14,14,14,14,14,40.07685852,64.92362976,39.36157227,69.82212067,36.19756317,64.36758423,40.23588562,7.55015707
3.17E-50,Lin7a,Protein lin-7 homolog A,Q8JZS0,LIN7A_MOUSE,"intracellular,cell-cell junction,bicellular tight junction,postsynaptic density,membrane,basolateral plasma membrane,neuron projection,synapse,postsynaptic membrane,extracellular exosome,MPP7-DLG1-LIN7 complex,presynapse","exocytosis,neurotransmitter secretion,protein transport,maintenance of epithelial cell apical/basal polarity,synaptic vesicle transport,inner ear development,protein localization to basolateral plasma membrane","protein binding,L27 domain binding",5,4,4,4,4,4,4,0,5,5,5,5,5,5,5,5,34.15865707,23.16528893,24.72086906,14.13422108,29.55070496,25.55376625,26.07719803,2.949889183
5.40E-91,Slc25a1,"Tricarboxylate transport protein, mitochondrial",Q8JZU2,TXTP_MOUSE,"nucleus,mitochondrion,mitochondrial inner membrane,integral component of membrane,extracellular exosome","mitochondrial transport,mitochondrial citrate transport,transmembrane transport",citrate transmembrane transporter activity,8,8,9,10,9,9,8,0,10,10,10,10,10,10,10,10,72.54602051,55.18387222,81.73690796,56.95681381,70.12826538,66.53633881,66.0207901,4.052391052
2.37E-30,Amdhd2,N-acetylglucosamine-6-phosphate deacetylase,Q8JZV7,NAGA_MOUSE,nucleus,"carbohydrate metabolic process,N-acetylglucosamine catabolic process,N-acetylneuraminate catabolic process","N-acetylglucosamine-6-phosphate deacetylase activity,metal ion binding",8,9,8,7,7,9,9,1,9,9,9,9,9,9,9,9,43.43426514,53.22829819,45.85540009,24.48343277,39.6547966,51.63002014,62.43275833,5.596572399
7.78E-69,Ugt3a2,UDP-glucuronosyltransferase 3A2,Q8JZZ0,UD3A2_MOUSE,"integral component of membrane,intracellular membrane-bounded organelle","metabolic process,cellular response to genistein","UDP-glycosyltransferase activity,glucuronosyltransferase activity",9,9,9,9,9,8,9,2,9,9,9,9,9,9,9,9,119.9210587,100.9028397,139.0890808,140.9575806,143.6910095,75.70372772,116.9833755,2.759706259
9.44E-87,Oplah,5-oxoprolinase,Q8K010,OPLA_MOUSE,cytosol,glutathione metabolic process,"ATP binding,5-oxoprolinase (ATP-hydrolyzing) activity",38,40,38,31,40,40,35,0,40,40,40,40,40,40,40,40,65.17592621,95.53419495,74.20878601,23.7430954,81.4021759,105.7202606,55.59111786,7.150316715
1.21E-57,Akr1c18,Aldo-keto reductase family 1 member C18;Isoform 2 of Aldo-keto reductase family 1 member C18,Q8K023;Q8K023-2,AKC1H_MOUSE,"intracellular,nucleus,cytoplasm,cytosol,extracellular exosome;","protein import into nucleus, translocation,progesterone catabolic process,G-protein coupled receptor signaling pathway,female pregnancy,parturition,positive regulation of cell proliferation,positive regulation of cell death,farnesol catabolic process,cellular response to reactive oxygen species,progesterone metabolic process,retinal metabolic process,daunorubicin metabolic process,doxorubicin metabolic process,regulation of retinoic acid receptor signaling pathway,positive regulation of protein kinase B signaling,oxidation-reduction process,testosterone biosynthetic process,cellular response to cadmium ion,cellular response to calcium ion,cellular response to follicle-stimulating hormone stimulus,cellular response to prostaglandin stimulus,cellular response to corticosteroid stimulus,cellular response to testosterone stimulus,cellular response to jasmonic acid stimulus,cellular response to transforming growth factor beta stimulus,cellular response to prostaglandin D stimulus,cellular response to gonadotropin-releasing hormone,negative regulation of retinoic acid biosynthetic process,cellular response to forskolin,cellular response to prolactin,regulation of testosterone biosynthetic process,positive regulation of endothelial cell apoptotic process,positive regulation of reactive oxygen species metabolic process;","retinal dehydrogenase activity,alditol:NADP+ 1-oxidoreductase activity,retinol dehydrogenase activity,oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor,phenanthrene 9,10-monooxygenase activity,dihydrotestosterone 17-beta-dehydrogenase activity,geranylgeranyl reductase activity,ketoreductase activity,17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity,15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity,androsterone dehydrogenase activity,ketosteroid monooxygenase activity,delta4-3-oxosteroid 5beta-reductase activity;",9,8,9,7,9,6,9,0,9,9,9,9,9,9,9,9,125.6614609,34.94680023,122.4658279,21.89071655,122.3619232,41.03265381,104.0508804,5.937219143
3.23E-06,Cyp51a1,Lanosterol 14-alpha demethylase,Q8K0C4,CP51A_MOUSE,"endoplasmic reticulum,endoplasmic reticulum membrane,plasma membrane,membrane,integral component of membrane,organelle membrane","steroid biosynthetic process,cholesterol biosynthetic process,cholesterol biosynthetic process via 24,25-dihydrolanosterol,oxidation-reduction process,demethylation","iron ion binding,sterol 14-demethylase activity,heme binding",7,3,7,5,6,6,6,0,7,7,7,7,7,7,7,7,42.7424469,12.20152569,35.45207596,25.72738838,40.51025391,14.98125744,36.64968109,5.622515678
2.61E-09,Gmds,"GDP-mannose 4,6 dehydratase",Q8K0C9,GMDS_MOUSE,"cellular_component,extracellular exosome","Notch signaling pathway,GDP-mannose metabolic process,'de novo' GDP-L-fucose biosynthetic process","GDP-mannose 4,6-dehydratase activity,identical protein binding,NADP+ binding",4,5,2,5,5,5,5,0,5,5,5,5,5,5,5,5,12.66767406,21.14842987,8.783827782,25.09601021,9.41140461,26.5190506,12.86611938,4.461059093
1.00E-65,Gfm1,"Elongation factor G, mitochondrial",Q8K0D5,EFGM_MOUSE,mitochondrion,mitochondrial translational elongation,"RNA binding,translation elongation factor activity,GTPase activity,GTP binding",8,7,8,7,8,8,8,0,8,8,8,8,8,8,8,8,52.38365936,36.06713867,54.43092346,24.373106,47.35762787,29.04331589,50.32647705,3.40381813
1.92E-81,Fgb,Fibrinogen beta chain,Q8K0E8,FIBB_MOUSE,"fibrinogen complex,extracellular space,cell cortex,external side of plasma membrane,cell surface,platelet alpha granule,extracellular exosome,blood microparticle,extracellular vesicle","adaptive immune response,cell-matrix adhesion,signal transduction,plasminogen activation,positive regulation of heterotypic cell-cell adhesion,fibrinolysis,induction of bacterial agglutination,cellular protein complex assembly,cellular response to leptin stimulus,innate immune response,positive regulation of vasoconstriction,positive regulation of exocytosis,positive regulation of protein secretion,protein polymerization,response to calcium ion,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,cellular response to interleukin-1,blood coagulation, fibrin clot formation,positive regulation of peptide hormone secretion,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of endothelial cell apoptotic process","structural molecule activity,protein binding, bridging,chaperone binding,receptor binding,cell adhesion molecule binding",41,44,40,56,37,46,46,1,57,57,57,57,57,57,57,57,151.4966278,204.454834,130.5162201,3877.880615,132.3365784,256.5654907,160.5033875,47.76974487
3.92E-71,Slc47a1,Multidrug and toxin extrusion protein 1,Q8K0H1,S47A1_MOUSE,"plasma membrane,integral component of membrane,vesicle","drug transmembrane transport,organic cation transport,hydrogen ion transmembrane transport","monovalent cation:proton antiporter activity,drug transmembrane transporter activity",4,4,4,3,4,4,4,0,4,4,4,4,4,4,4,4,16.2795887,11.6010313,26.54417419,4.395013809,20.52410316,7.668627739,13.29649162,1.507485628
2.75E-79,Acsm2,"Acyl-coenzyme A synthetase ACSM2, mitochondrial;Isoform 2 of Acyl-coenzyme A synthetase ACSM2, mitochondrial",Q8K0L3;Q8K0L3-2,ACSM2_MOUSE,"mitochondrion,mitochondrial matrix;","fatty acid biosynthetic process,acyl-CoA metabolic process,medium-chain fatty-acyl-CoA metabolic process;","acyl-CoA ligase activity,fatty-acyl-CoA synthase activity,ATP binding,fatty acid ligase activity,metal ion binding,butyrate-CoA ligase activity;",65,65,65,57,64,63,64,23,67,67,67,67,67,67,67,67,2421.036377,1524.766724,2405.880371,413.4062805,2364.586426,1269.670288,2446.242432,345.9125671
4.43E-30,Hspa12a,Heat shock 70 kDa protein 12A,Q8K0U4,HS12A_MOUSE,extracellular exosome,biological_process,"molecular_function,ATP binding",3,3,3,2,4,4,4,0,4,4,4,4,4,4,4,4,13.38965321,16.62379837,10.53945732,9.078238487,11.62066841,13.49240208,8.599192619,2.492547035
9.03E-19,Taco1,Translational activator of cytochrome c oxidase 1,Q8K0Z7,TACO1_MOUSE,"nucleus,mitochondrion","regulation of translation,biological_process",molecular_function,6,5,6,4,6,4,6,0,6,6,6,6,6,6,6,6,45.29305649,28.43641472,62.01781845,29.49631119,49.00038147,24.69989967,38.63664627,2.901359081
5.36E-60,Galm,Aldose 1-epimerase,Q8K157,GALM_MOUSE,"cytoplasm,extracellular exosome","carbohydrate metabolic process,glucose metabolic process,galactose metabolic process,galactose catabolic process via UDP-galactose","aldose 1-epimerase activity,carbohydrate binding,protein homodimerization activity",8,7,8,6,8,7,8,0,8,8,8,8,8,8,8,8,124.3478165,100.6028595,143.8709412,26.56390953,126.5191574,84.54112244,148.0258331,18.50231171
3.82E-72,Pdxk,Pyridoxal kinase,Q8K183,PDXK_MOUSE,"nucleus,cytosol,extracellular exosome","cell proliferation,pyridoxal 5'-phosphate salvage,phosphorylation,pyridoxal phosphate biosynthetic process","magnesium ion binding,ATP binding,zinc ion binding,pyridoxal kinase activity,pyridoxal phosphate binding,potassium ion binding,sodium ion binding,lithium ion binding,protein homodimerization activity",9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,44.44832993,88.936203,47.82930756,48.14794159,50.75797653,91.63504028,44.56858826,4.104239464
9.64E-32,Fermt3,Fermitin family homolog 3,Q8K1B8,URP2_MOUSE,"podosome,membrane,cell junction,cell projection,extracellular exosome","leukocyte cell-cell adhesion,integrin-mediated signaling pathway,positive regulation of cell migration,integrin activation,regulation of cell-cell adhesion mediated by integrin,substrate adhesion-dependent cell spreading,platelet aggregation","integrin binding,protein binding",5,8,6,8,6,7,7,0,8,8,8,8,8,8,8,8,11.70650387,18.52556801,6.977108479,59.97955704,8.980734825,19.45270538,13.46152401,4.746057034
2.33E-34,Trnt1,"CCA tRNA nucleotidyltransferase 1, mitochondrial",Q8K1J6,TRNT1_MOUSE,"intracellular,mitochondrion","tRNA 3'-terminal CCA addition,tRNA processing,mitochondrial tRNA 3'-end processing","tRNA binding,ATP binding,tRNA nucleotidyltransferase activity,CTP:tRNA cytidylyltransferase activity,CTP:3'-cytidine-tRNA cytidylyltransferase activity,ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity",2,2,2,3,2,3,2,0,3,3,3,3,3,3,3,3,6.540158749,15.12147522,6.035867214,15.85404396,5.795450687,15.28431797,6.788826466,2.077450991
3.02E-06,Pnpt1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",Q8K1R3,PNPT1_MOUSE,"nucleus,cytoplasm,mitochondrion,mitochondrial intermembrane space,endoplasmic reticulum membrane,cytosol,polysomal ribosome,mitochondrial degradosome","mitochondrial RNA catabolic process,mitochondrial mRNA catabolic process,positive regulation of mitochondrial RNA catabolic process,mitochondrial RNA 5'-end processing,mitochondrial RNA 3'-end processing,RNA catabolic process,mRNA catabolic process,cellular response to oxidative stress,cellular response to interferon-beta,RNA import into mitochondrion,rRNA import into mitochondrion,regulation of cellular respiration,RNA polyadenylation,negative regulation of growth,protein homooligomerization,response to cAMP,response to growth hormone,positive regulation of mRNA catabolic process,protein homotrimerization,mitochondrion morphogenesis,nuclear polyadenylation-dependent mRNA catabolic process,mitotic cell cycle arrest,RNA phosphodiester bond hydrolysis, exonucleolytic,mitochondrial mRNA polyadenylation,liver regeneration,positive regulation of miRNA catabolic process,regulation of cellular senescence","3'-5'-exoribonuclease activity,RNA binding,polyribonucleotide nucleotidyltransferase activity,poly(U) RNA binding,poly(G) binding,miRNA binding",3,2,3,2,3,3,2,0,3,3,3,3,3,3,3,3,12.26818943,6.964393139,12.77760506,8.480601311,13.63695049,9.421779633,9.578682899,2.512511492
2.47E-83,Coq9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",Q8K1Z0,COQ9_MOUSE,"mitochondrion,mitochondrial inner membrane","mitochondrial electron transport, NADH to ubiquinone,ubiquinone biosynthetic process","lipid binding,protein homodimerization activity",8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,168.1990814,62.70532227,167.6210785,63.0494194,188.1894684,63.215168,147.9989929,5.632202625
3.64E-31,Lyrm4,LYR motif-containing protein 4,Q8K215,LYRM4_MOUSE,"mitochondrion,nuclear body",biological_process,molecular_function,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,49.27759552,34.91658401,60.28869247,35.37093353,56.04213333,35.42282867,48.63660812,2.601032972
4.87E-11,Colgalt1,Procollagen galactosyltransferase 1,Q8K297,GT251_MOUSE,"endoplasmic reticulum lumen,membrane",positive regulation of collagen fibril organization,procollagen galactosyltransferase activity,3,3,3,3,2,3,3,0,3,3,3,3,3,3,3,3,4.637033463,12.61628532,3.860171318,28.16896629,5.012781143,14.72084999,7.107476234,1.902526617
