PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity
"fat cell differentiation,protein homooligomerization,protein heterooligomerization","nuclear inner membrane,membrane,integral component of membrane",Tmem120a,molecular_function,Transmembrane protein 120A,T120A_MOUSE,3.31E-43,Q8C1E7,3,3,2,1,3,3,3,3,4.581606388,7.4421978,8.37935257,3.766074657
"oocyte maturation,protein transport,endosomal transport,polar body extrusion after meiotic divisions,cholesterol homeostasis,spindle assembly involved in meiosis","endosome,early endosome,endoplasmic reticulum,cytosol,WASH complex",Kiaa0196,molecular_function,WASH complex subunit strumpellin,STRUM_MOUSE,2.95E-11,Q8C2E7,6,7,5,6,7,7,7,7,89.42855835,104.1249924,71.34423828,97.61205292
"activation of innate immune response,transcription, DNA-templated,histone deacetylation,positive regulation of transcription from RNA polymerase II promoter,negative regulation of centriole replication,SMAD protein signal transduction,centriole assembly","nucleus,transcription factor complex,nucleolus,cytoplasm,nuclear speck",Rbm14,"RNA binding,ligand-dependent nuclear receptor transcription coactivator activity",RNA-binding protein 14,RBM14_MOUSE,2.48E-26,Q8C2Q3,14,13,13,14,9,9,9,9,138.6967773,168.9342194,186.4016418,177.1886902
,,Atp5c1,,ATP synthase subunit gamma,Q8C2Q8_MOUSE,1.46E-51,Q8C2Q8,21,21,21,21,12,12,12,12,28826.68359,29324.16602,28714.74805,24494.9082
biological_process,"mitochondrion,integral component of membrane,mitochondrial membrane",Ccdc90b,molecular_function,"Coiled-coil domain-containing protein 90B, mitochondrial",CC90B_MOUSE,5.31E-09,Q8C3X2,6,5,6,6,7,7,7,7,167.6647797,182.3345337,178.5361176,146.1079407
protein maturation,"endoplasmic reticulum membrane,membrane,integral component of membrane",Lmf2,molecular_function,Lipase maturation factor 2,LMF2_MOUSE,2.49E-15,Q8C3X8,3,2,2,2,3,3,3,3,17.59937286,13.88811779,10.95933437,14.12815285
biological_process;,"endoplasmic reticulum,Golgi apparatus,plasma membrane,integral component of membrane,intracellular membrane-bounded organelle;",Yipf4,molecular_function;,Protein YIPF4;Isoform 2 of Protein YIPF4,YIPF4_MOUSE,8.81E-05,Q8C407;Q8C407-2,2,2,1,1,2,2,2,2,108.7494049,95.35466766,83.02182007,22.21763992
"neuron differentiation,lipoprotein transport,cilium morphogenesis","intracellular,ciliary transition zone",Unc119b,lipid binding,Protein unc-119 homolog B,U119B_MOUSE,1.29E-30,Q8C4B4,4,6,5,6,6,6,6,6,108.582695,136.2332458,99.13145447,91.09223175
"osteoblast differentiation,ureteric bud development,somitogenesis,neural tube closure,hematopoietic progenitor cell differentiation,proteolysis,G-protein coupled receptor signaling pathway,positive regulation of cell proliferation,negative regulation of cell proliferation,male gonad development,female gonad development,cellular response to starvation,dorsal/ventral axis specification,anterior/posterior pattern specification,regulation of cell cycle process,negative regulation of gene expression,negative regulation of epithelial to mesenchymal transition,regulation of neuron projection development,neural crest cell fate commitment,response to organic cyclic compound,neural tube development,actin cytoskeleton organization,hemopoiesis,positive regulation of Wnt signaling pathway,negative regulation of Wnt signaling pathway,negative regulation of ossification,positive regulation of cell growth,negative regulation of cell growth,negative regulation of cell migration,negative regulation of BMP signaling pathway,negative regulation of osteoblast proliferation,substrate adhesion-dependent cell spreading,somatic stem cell population maintenance,response to drug,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of JUN kinase activity,cellular response to fibroblast growth factor stimulus,stromal-epithelial cell signaling involved in prostate gland development,negative regulation of B cell differentiation,positive regulation of fat cell differentiation,negative regulation of osteoblast differentiation,negative regulation of osteoclast differentiation,positive regulation of smoothened signaling pathway,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,development of primary male sexual characteristics,negative regulation of insulin secretion,negative regulation of bone remodeling,negative regulation of fibroblast proliferation,digestive tract morphogenesis,positive regulation of epithelial cell proliferation,negative regulation of epithelial cell proliferation,negative regulation of peptidyl-tyrosine phosphorylation,canonical Wnt signaling pathway,Wnt signaling pathway, planar cell polarity pathway,hematopoietic stem cell differentiation,bone trabecula formation,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,regulation of branching involved in prostate gland morphogenesis,negative regulation of androgen receptor signaling pathway,cellular response to vitamin D,cellular response to interleukin-1,cellular response to tumor necrosis factor,cellular response to growth factor stimulus,cellular response to prostaglandin E stimulus,cellular response to estrogen stimulus,cellular response to estradiol stimulus,cellular response to hypoxia,cellular response to X-ray,cellular response to heparin,dopaminergic neuron differentiation,cellular response to transforming growth factor beta stimulus,cellular response to BMP stimulus,negative regulation of canonical Wnt signaling pathway,regulation of establishment of planar polarity,planar cell polarity pathway involved in neural tube closure,Wnt signaling pathway involved in somitogenesis,convergent extension involved in somitogenesis,positive regulation of canonical Wnt signaling pathway,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,regulation of midbrain dopaminergic neuron differentiation,negative regulation of planar cell polarity pathway involved in axis elongation,positive regulation of non-canonical Wnt signaling pathway,negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification,negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation,negative regulation of fibroblast apoptotic process,positive regulation of fibroblast apoptotic process,positive regulation of extrinsic apoptotic signaling pathway","proteinaceous extracellular matrix,extracellular space,intracellular,cytosol,plasma membrane,cell surface,integral component of membrane,extracellular matrix,extracellular exosome",Sfrp1,"cysteine-type endopeptidase activity,G-protein coupled receptor activity,frizzled binding,protein binding,drug binding,heparin binding,Wnt-protein binding,identical protein binding,Wnt-activated receptor activity",Secreted frizzled-related protein 1,SFRP1_MOUSE,0.000799028,Q8C4U3,3,3,3,3,3,3,3,3,37.77523422,32.8687439,40.32265091,52.80722046
biological_process,"membrane,extracellular exosome",Heatr5b,protein binding,HEAT repeat-containing protein 5B,HTR5B_MOUSE,0.001157699,Q8C547,1,3,4,2,5,5,5,5,6.175774574,9.824767113,13.21150589,6.567424297
"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,RNA export from nucleus,protein import into nucleus,cell cycle,cell division,regulation of mitotic spindle organization,cellular response to organic cyclic compound","fibrillar center,nucleus,nuclear envelope,nuclear pore,cytoplasm,mitotic spindle pole",Rae1,"RNA binding,ubiquitin binding",mRNA export factor,RAE1L_MOUSE,1.46E-16,Q8C570,4,4,5,4,5,5,5,5,24.71342659,17.77904892,19.20749664,29.92689514
";ubiquitin-dependent protein catabolic process,autophagy,inflammatory response,signal transduction,phosphorylation,epithelial cell differentiation,positive regulation of protein sumoylation,protein localization to endosome,innate immune response",";cytoplasm,nuclear body,perinuclear region of cytoplasm,extracellular exosome",Tollip,";interleukin-1, Type I receptor binding,protein binding,kinase binding,ubiquitin conjugating enzyme binding,ubiquitin protein ligase binding,SUMO binding,Toll-like receptor binding,ubiquitin binding",Toll-interacting protein,Q8C5G6_MOUSE;TOLIP_MOUSE,5.08E-17,Q8C5G6;Q9QZ06,3,3,3,3,3,3,3,3,52.73299408,51.55615616,52.46359634,67.56355286
"NADP biosynthetic process,phosphorylation,NAD metabolic process;;;;",mitochondrion;;;;,Nadk2,"NAD+ kinase activity,ATP binding,protein homodimerization activity;;;;","NAD kinase 2, mitochondrial;Isoform 2 of NAD kinase 2, mitochondrial;Isoform 3 of NAD kinase 2, mitochondrial;Isoform 4 of NAD kinase 2, mitochondrial;NAD kinase 2, mitochondrial",NAKD2_MOUSE;NAKD2_MOUSE;NAKD2_MOUSE;NAKD2_MOUSE;Z4YK42_MOUSE,2.60E-52,Q8C5H8;Q8C5H8-2;Q8C5H8-3;Q8C5H8-4;Z4YK42,14,14,14,14,8,8,8,8,789.6182251,894.1049805,765.8936768,901.5125122
"negative regulation of cell proliferation,neuron projection development;","cytoplasm,membrane,integral component of membrane;",Clmn,"molecular_function,actin binding;",Calmin;Isoform 4 of Calmin,CLMN_MOUSE,3.39E-79,Q8C5W0;Q8C5W0-4,9,8,9,7,7,7,7,7,122.5006104,112.3376236,112.4053574,100.3574905
biological_process;,"cellular_component,cytoplasm,cytoskeleton;",Tbcel,molecular_function;,Tubulin-specific chaperone cofactor E-like protein;Isoform 2 of Tubulin-specific chaperone cofactor E-like protein,TBCEL_MOUSE,1.52E-05,Q8C5W3;Q8C5W3-2,3,3,2,2,3,3,3,3,21.021698,23.54211426,25.32743263,32.41627121
";fructose 6-phosphate metabolic process,glycolytic process through fructose-6-phosphate,cellular response to leukemia inhibitory factor",";nucleus,cytoplasm,cytosol,6-phosphofructokinase complex,membrane,extracellular matrix,extracellular exosome",Pfkp,";6-phosphofructokinase activity,ATP binding,protein complex binding,cadherin binding,metal ion binding","ATP-dependent 6-phosphofructokinase;ATP-dependent 6-phosphofructokinase, platelet type",Q8C605_MOUSE;PFKAP_MOUSE,7.04E-30,Q8C605;Q9WUA3,21,20,22,20,7,7,7,7,635.8043823,740.119812,684.8787842,469.8887634
methylation,"lipid particle,integral component of membrane,extracellular exosome",Mettl7a1,methyltransferase activity,"MCG20149, isoform CRA_a",Q8C6B0_MOUSE,6.96E-32,Q8C6B0,5,6,6,5,6,6,6,6,562.5767822,610.4873047,554.9771729,496.1647949
,,Snx18,,Sorting nexin,Q8C788_MOUSE,8.07E-06,Q8C788,3,3,5,4,5,5,5,5,54.13591385,36.81103897,71.13853455,27.11549759
,,Rnase4,,Ribonuclease 4,Q8C7E4_MOUSE,8.92E-37,Q8C7E4,10,7,7,8,10,10,10,10,564.6166992,408.0136108,298.5905457,565.8109131
"biological_process,cobalamin biosynthetic process","cellular_component,mitochondrion",Mmaa,"molecular_function,GTPase activity,GTP binding","Methylmalonic aciduria type A homolog, mitochondrial",MMAA_MOUSE,4.55E-42,Q8C7H1,6,6,6,6,6,6,6,6,248.6459656,294.0727539,282.2905273,216.0643158
"prenylated protein catabolic process,prenylcysteine catabolic process,oxidation-reduction process","extracellular region,vacuolar membrane,membrane",Pcyox1l,prenylcysteine oxidase activity,Prenylcysteine oxidase-like,PCYXL_MOUSE,0.000299625,Q8C7K6,2,2,2,2,2,2,2,2,25.71653175,25.43179321,43.50199127,176.4348602
protein folding in endoplasmic reticulum;;,"endoplasmic reticulum,integral component of membrane,ER membrane protein complex;;",Emc1,molecular_function;;,ER membrane protein complex subunit 1;Isoform 2 of ER membrane protein complex subunit 1;ER membrane protein complex subunit 1,EMC1_MOUSE;EMC1_MOUSE;Z4YJW0_MOUSE,6.07E-34,Q8C7X2;Q8C7X2-2;Z4YJW0,11,11,12,12,8,8,8,8,308.7315063,344.734375,300.9190369,309.2140503
;,;membrane raft,Efhd2,";calcium ion binding,protein binding,cadherin binding",EF-hand domain-containing protein D2,Q8C845_MOUSE;EFHD2_MOUSE,1.52E-10,Q8C845;Q9D8Y0,4,4,5,6,6,6,6,6,70.11014557,76.985672,73.8114624,150.5662537
,focal adhesion,Ppfibp1,cadherin binding,Liprin-beta-1,LIPB1_MOUSE,2.67E-24,Q8C8U0,6,2,7,8,8,8,8,8,27.88374901,22.40199089,40.1754837,49.96934891
";hematopoietic progenitor cell differentiation,vesicle docking involved in exocytosis,integrin-mediated signaling pathway,positive regulation of platelet activation,negative regulation of inositol phosphate biosynthetic process,positive regulation of inositol-polyphosphate 5-phosphatase activity,cell projection organization,positive regulation of actin filament depolymerization,phospholipase C-inhibiting G-protein coupled receptor signaling pathway,cortical actin cytoskeleton organization,ruffle organization,actin cytoskeleton reorganization,positive regulation of actin filament bundle assembly,positive regulation of integrin activation,negative regulation of G-protein coupled receptor protein signaling pathway,phosphatidylinositol metabolic process,regulation of cell diameter,thrombin-activated receptor signaling pathway,platelet aggregation,protein kinase C signaling,protein secretion by platelet",";cytoplasm,membrane,ruffle membrane",Plek,";protein kinase C binding,protein homodimerization activity,phosphatidylinositol-3,4-bisphosphate binding",Pleckstrin,Q8CAG6_MOUSE;PLEK_MOUSE,0.000760051,Q8CAG6;Q9JHK5,4,1,2,5,5,5,5,5,21.37644577,16.39752197,11.64797306,63.14951324
"heme biosynthetic process,iron-sulfur cluster assembly","mitochondrion,mitochondrial matrix",Iba57,"RNA binding,transferase activity","Putative transferase CAF17 homolog, mitochondrial",CAF17_MOUSE,4.90E-26,Q8CAK1,3,4,4,3,4,4,4,4,118.6521759,130.0986328,133.5378265,109.7938309
,,Immt,,Isoform 2 of MICOS complex subunit Mic60,MIC60_MOUSE,2.00E-74,Q8CAQ8-2,61,60,58,59,10,10,10,10,7633.349609,8624.979492,7634.337891,7027.949219
"fatty acid beta-oxidation,positive regulation of intestinal cholesterol absorption","nucleus,nucleolus,cytoplasm,mitochondrion,cytosol,extracellular exosome",Acat2,acetyl-CoA C-acetyltransferase activity,"Acetyl-CoA acetyltransferase, cytosolic",THIC_MOUSE,3.24E-51,Q8CAY6,19,18,18,18,10,10,10,10,3661.197266,3531.275391,3108.55835,3308.112061
cell differentiation,nucleus,Slfn5,ATP binding,Schlafen family member 5,SLFN5_MOUSE,0.006261314,Q8CBA2,1,0,1,2,2,2,2,2,2,3.697442532,3.744750738,2.132086039
,,Dctn4,,Isoform 2 of Dynactin subunit 4,DCTN4_MOUSE,2.44E-05,Q8CBY8-2,10,9,10,7,7,7,7,7,80.36249542,62.55504608,72.97709656,66.67192841
"response to oxidative stress,NAD biosynthetic process,nicotinate nucleotide salvage","cytosol,extracellular exosome",Naprt,"nicotinate-nucleotide diphosphorylase (carboxylating) activity,nicotinate phosphoribosyltransferase activity,ligase activity",Nicotinate phosphoribosyltransferase,PNCB_MOUSE,5.09E-33,Q8CC86,9,9,9,9,7,7,7,7,564.1268311,561.0686646,529.3408813,586.4169312
biological_process,"extracellular region,mitochondrion",Vwa8,"molecular_function,ATP binding,ATPase activity",von Willebrand factor A domain-containing protein 8,VWA8_MOUSE,5.17E-56,Q8CC88,70,71,71,68,7,7,7,7,2896.872559,3718.98584,3161.053711,3050.83252
"spliceosomal tri-snRNP complex assembly,mRNA splicing, via spliceosome,ribonucleoprotein complex localization;","nucleus,U4 snRNP,U4atac snRNP,Cajal body,nuclear speck,U4/U6 x U5 tri-snRNP complex,precatalytic spliceosome,MLL1 complex,spliceosomal tri-snRNP complex;",Prpf31,"RNA binding,U4 snRNA binding,U4atac snRNA binding,ribonucleoprotein complex binding,snRNP binding;",U4/U6 small nuclear ribonucleoprotein Prp31;Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp31,PRP31_MOUSE,0.000868795,Q8CCF0;Q8CCF0-2,4,4,5,4,7,7,7,7,52.88518524,46.26040268,53.92679977,55.72904587
biological_process,extracellular exosome,Nhlrc3,molecular_function,NHL repeat-containing protein 3,NHLC3_MOUSE,2.21E-33,Q8CCH2,4,4,5,4,5,5,5,5,64.09511566,84.66072083,84.84659576,90.52375793
"osteoblast differentiation,positive regulation of cell proliferation,regulation of gene expression,negative regulation of protein ubiquitination,negative regulation of NF-kappaB transcription factor activity,positive regulation of protein binding,regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of protein localization,regulation of intracellular estrogen receptor signaling pathway,response to endoplasmic reticulum stress,negative regulation of apoptotic process,positive regulation of glial cell proliferation,protein ufmylation,response to L-glutamate,protein K69-linked ufmylation","cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,membrane,neuron projection,protein complex",Ufl1,"protein binding,ligase activity,UFM1 transferase activity",E3 UFM1-protein ligase 1,UFL1_MOUSE,3.20E-16,Q8CCJ3,4,2,5,5,5,5,5,5,25.1797142,41.73937225,23.26827049,35.55736923
"negative regulation of transcription from RNA polymerase II promoter,nucleosome assembly,chromatin silencing,brain development,dosage compensation,chromatin modification,positive regulation of keratinocyte differentiation,negative regulation of gene expression, epigenetic,establishment of protein localization to chromatin,negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter","nuclear chromosome, telomeric region,nucleosome,nuclear chromatin,Barr body,nucleoplasm,extracellular exosome,ESC/E(Z) complex",H2afy2,"RNA polymerase II regulatory region sequence-specific DNA binding,DNA binding,chromatin DNA binding,transcription regulatory region DNA binding,protein heterodimerization activity",Core histone macro-H2A.2,H2AW_MOUSE,5.53E-09,Q8CCK0,3,2,3,2,4,4,4,4,78.81636047,149.7921448,85.51284027,113.8448868
nuclear export;;;,nucleus;;;,Nemf,molecular_function;;;,Nuclear export mediator factor Nemf;Isoform 2 of Nuclear export mediator factor Nemf;Isoform 3 of Nuclear export mediator factor Nemf;Isoform 4 of Nuclear export mediator factor Nemf,NEMF_MOUSE,1.81E-09,Q8CCP0;Q8CCP0-2;Q8CCP0-3;Q8CCP0-4,3,3,3,1,4,4,4,4,173.1622314,81.82905579,132.9885712,173.6697693
"positive regulation of receptor recycling,adult locomotory behavior,cardiac muscle hypertrophy in response to stress,phosphatidylinositol catabolic process,negative regulation of peptidyl-serine phosphorylation,negative regulation of tyrosine phosphorylation of STAT protein,phosphatidylinositol dephosphorylation,phosphatidylinositol-mediated signaling,negative regulation of axon regeneration,regulation of protein kinase B signaling,clathrin-dependent endocytosis,regulation of cell motility,regulation of endocytic recycling;","cytoplasm,early endosome,axon,dendrite,neuronal cell body,clathrin-coated endocytic vesicle,recycling endosome,clathrin-coated pit;",Inpp5f,"protein binding,inositol monophosphate 1-phosphatase activity,phosphatidylinositol phosphate 5-phosphatase activity,phosphatidylinositol phosphate 4-phosphatase activity,protein homodimerization activity,inositol monophosphate 3-phosphatase activity,inositol monophosphate 4-phosphatase activity;",Phosphatidylinositide phosphatase SAC2;Isoform 2 of Phosphatidylinositide phosphatase SAC2,SAC2_MOUSE,0.000975046,Q8CDA1;Q8CDA1-2,2,2,2,2,3,3,3,3,16.56133652,9.850382805,25.85143471,15.34271336
"cellular response to oxidative stress,cell redox homeostasis,oxidation-reduction process,cellular oxidant detoxification","proteasome complex,nucleus,cytoplasm,cytosol,extracellular exosome",Txnl1,"thioredoxin-disulfide reductase activity,protein disulfide oxidoreductase activity,disulfide oxidoreductase activity,oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor,protein-disulfide reductase activity",Thioredoxin-like protein 1,TXNL1_MOUSE,3.10E-32,Q8CDN6,16,14,16,14,8,8,8,8,935.5144043,867.7091675,922.9281006,1042.595093
tRNA methylation;;,"cellular_component,nucleus,tRNA (m1A) methyltransferase complex;;",Trmt6,RNA binding;;,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6;Isoform 3 of tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6;Isoform 4 of tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,TRM6_MOUSE,0.003112608,Q8CE96;Q8CE96-3;Q8CE96-4,2,1,1,2,2,2,2,2,7.348118305,2,4.316160679,9.426376343
"ribosomal large subunit export from nucleus,ribosomal small subunit export from nucleus,mitotic cell cycle,mRNA export from nucleus,protein import into nucleus;;","nuclear pore,nucleoplasm;;",Nup88,transporter activity;;,Nuclear pore complex protein Nup88;Isoform 2 of Nuclear pore complex protein Nup88;Isoform 3 of Nuclear pore complex protein Nup88,NUP88_MOUSE,0.000707836,Q8CEC0;Q8CEC0-2;Q8CEC0-3,1,0,2,1,2,2,2,2,6.423531532,2.04125309,6.81429863,4.138943672
"glycine decarboxylation via glycine cleavage system,methylation","nucleoplasm,mitochondrion",Amt,"aminomethyltransferase activity,transaminase activity","Aminomethyltransferase, mitochondrial",GCST_MOUSE,6.01E-44,Q8CFA2,10,9,10,9,8,8,8,8,551.9524536,419.2272949,656.5388184,587.1083374
transcription from RNA polymerase II promoter,"nucleus,nucleoplasm,DNA-directed RNA polymerase II, core complex,membrane,nuclear chromosome, telomeric region",Polr2b,"DNA binding,chromatin binding,RNA binding,ribonucleoside binding,metal ion binding,RNA polymerase II activity",DNA-directed RNA polymerase II subunit RPB2,RPB2_MOUSE,4.69E-05,Q8CFI7,1,2,2,3,3,3,3,3,9.290355682,8.235146523,12.64129734,14.55974102
"mitochondrial transport,transmembrane transport,mitochondrial ornithine transport","mitochondrion,mitochondrial inner membrane,integral component of membrane",Slc25a45,"transmembrane transporter activity,L-ornithine transmembrane transporter activity",Solute carrier family 25 member 45,S2545_MOUSE,1.35E-53,Q8CFJ7,3,3,3,3,3,3,3,3,142.065979,121.6531143,93.67150116,114.103981
"apoptotic process,riboflavin biosynthetic process,FMN biosynthetic process,phosphorylation,positive regulation of NAD(P)H oxidase activity,reactive oxygen species metabolic process",mitochondrion,Rfk,"protein binding,ATP binding,riboflavin kinase activity,metal ion binding",Riboflavin kinase,RIFK_MOUSE,2.61E-37,Q8CFV9,3,3,3,3,3,3,3,3,125.0664902,173.0438232,186.5658264,130.4373169
,,Pcdh1,,Protein Pcdh1,Q8CFX3_MOUSE,2.76E-09,Q8CFX3,1,4,2,2,4,4,4,4,31.63612366,20.20205688,17.7214756,40.33704376
cellular response to superoxide,"nucleus,nucleoplasm,cytoplasm,mitochondrion,mitochondrial matrix,nuclear body",Adprhl2,"molecular_function,poly(ADP-ribose) glycohydrolase activity,metal ion binding",Poly(ADP-ribose) glycohydrolase ARH3,ARHL2_MOUSE,5.63E-13,Q8CG72,3,4,5,3,5,5,5,5,18.96359825,15.44764233,22.43635178,10.29903603
"daunorubicin metabolic process,doxorubicin metabolic process,oxidation-reduction process","mitochondrion,Golgi apparatus,cytosol,extracellular exosome",Akr7a2,"oxidoreductase activity,phenanthrene-9,10-epoxide hydrolase activity",Aflatoxin B1 aldehyde reductase member 2,ARK72_MOUSE,3.05E-52,Q8CG76,21,21,21,21,11,11,11,11,8242.529297,8692.091797,8736.125,8412.500977
"negative regulation of protein kinase activity,positive regulation of gene expression,positive regulation of epithelial cell migration,positive regulation of cell-substrate adhesion,histone dephosphorylation,negative regulation of peptidyl-serine phosphorylation,cellular response to drug,peptidyl-threonine dephosphorylation,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,negative regulation of protein kinase activity by regulation of protein phosphorylation,negative regulation of transcription, DNA-templated,positive regulation of growth,positive regulation of chemotaxis,positive regulation of stress fiber assembly,positive regulation of focal adhesion assembly,intrinsic apoptotic signaling pathway","cytosol,protein complex,perinuclear region of cytoplasm",Ppm1f,"protein serine/threonine phosphatase activity,phosphatase activity,calmodulin-dependent protein phosphatase activity,metal ion binding",Protein phosphatase 1F,PPM1F_MOUSE,2.85E-66,Q8CGA0,2,2,2,3,3,3,3,3,18.30339241,19.88409805,31.2491703,19.69991302
"neutral amino acid transport,L-amino acid transport,L-alpha-amino acid transmembrane transport","plasma membrane,integral component of plasma membrane",Slc43a2,"neutral amino acid transmembrane transporter activity,L-amino acid transmembrane transporter activity",Large neutral amino acids transporter small subunit 4,LAT4_MOUSE,2.28E-19,Q8CGA3,3,3,3,3,3,3,3,3,113.4304733,92.59822845,105.4002838,44.37387466
"glutamyl-tRNA aminoacylation,prolyl-tRNA aminoacylation,negative regulation of translation,cellular response to interferon-gamma","cytoplasm,cytosol,membrane,aminoacyl-tRNA synthetase multienzyme complex,intracellular ribonucleoprotein complex,GAIT complex",Eprs,"glutamate-tRNA ligase activity,proline-tRNA ligase activity,ATP binding,zinc ion binding,RNA stem-loop binding,protein homodimerization activity,GTPase binding",Bifunctional glutamate/proline--tRNA ligase,SYEP_MOUSE,5.21E-51,Q8CGC7,43,42,45,43,7,7,7,7,948.0128174,941.1573486,893.885498,1044.553711
"negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated;",nucleoplasm;,Tcerg1,"RNA polymerase II repressing transcription factor binding,RNA polymerase II transcription corepressor activity,transcription factor activity, sequence-specific DNA binding,RNA binding,identical protein binding,proline-rich region binding;",Transcription elongation regulator 1;Isoform 2 of Transcription elongation regulator 1,TCRG1_MOUSE,2.29E-45,Q8CGF7;Q8CGF7-2,8,10,10,10,7,7,7,7,84.97074127,98.93262482,85.13665009,81.82433319
"response to hypoxia,proteolysis,misfolded or incompletely synthesized protein catabolic process,mitochondrion organization,aging,response to hormone,response to aluminum ion,cellular response to oxidative stress,cellular protein complex assembly,protein homooligomerization,proteolysis involved in cellular protein catabolic process,oxidation-dependent protein catabolic process","nucleus,nucleoplasm,mitochondrion,mitochondrial matrix,cytosol,membrane,mitochondrial nucleoid",Lonp1,"single-stranded DNA binding,single-stranded RNA binding,ATP-dependent peptidase activity,serine-type endopeptidase activity,ATP binding,ATPase activity,ADP binding,sequence-specific DNA binding,G-quadruplex DNA binding,DNA polymerase binding,mitochondrial light strand promoter anti-sense binding,mitochondrial heavy strand promoter anti-sense binding,mitochondrial light strand promoter sense binding,mitochondrial heavy strand promoter sense binding","Lon protease homolog, mitochondrial",LONM_MOUSE,1.05E-37,Q8CGK3,44,46,46,42,9,9,9,9,3640.541748,4013.310303,3705.911865,3703.189209
"lipid catabolic process,triglyceride catabolic process","endoplasmic reticulum,lipid particle,cytosol",Plin1,protein binding,Perilipin-1,PLIN1_MOUSE,1.37E-05,Q8CGN5,0,0,1,6,6,6,6,6,7.036671638,7.825398445,7.173774242,28.47152138
"regulation of glycolytic process,protein O-linked glycosylation,apoptotic process,negative regulation of protein ubiquitination,response to insulin,circadian regulation of gene expression,regulation of Rac protein signal transduction,histone H4-K5 acetylation,histone H4-K8 acetylation,histone H4-K16 acetylation,positive regulation of proteolysis,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,phosphatidylinositol-mediated signaling,positive regulation of histone H3-K27 methylation,histone H3-K4 trimethylation,regulation of gluconeogenesis involved in cellular glucose homeostasis;","histone acetyltransferase complex,intracellular,nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane;",Ogt,"catalytic activity,protein binding,phosphatidylinositol-3,4,5-trisphosphate binding,N-acetyltransferase activity,protein N-acetylglucosaminyltransferase activity,protein O-GlcNAc transferase activity,histone acetyltransferase activity (H4-K5 specific),histone acetyltransferase activity (H4-K8 specific),histone acetyltransferase activity (H4-K16 specific);",UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit;Isoform 2 of UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT1_MOUSE,2.83E-56,Q8CGY8;Q8CGY8-2,3,3,3,4,4,4,4,4,16.65501213,12.63886452,16.985466,16.62577629
