Category,Use.For,Protein,Accession,Entry.name,Protein.names.x,Type,Notes,assignment
5,Functional component of EVs: need to determine the mode of association with EVs,COL4A6,NA,CO4A6_MOUSE,Collagen alpha-6(IV) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL9A3,NA,CO9A3_MOUSE,Collagen alpha-3(IX) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL9A2,Q07643,CO9A2_MOUSE,Collagen alpha-2(IX) chain,,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,IL18 IGIF IL1F4,P70380,IL18_MOUSE,Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma),Cytokines and growth factors,,CYTOSOL
3,All EVs as purity control,MRPL58 DS1 ICT1,Q8R035,ICT1_MOUSE,"Peptidyl-tRNA hydrolase ICT1, mitochondrial (EC 3.1.1.29) (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Digestion substraction 1) (DS-1) (Immature colon carcinoma transcript 1 protein) (Mitochondrial large ribosomal subunit protein mL62)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,EBI3 IL27B,O35228,IL27B_MOUSE,Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein),Cytokines and growth factors,,
2,All EVs,FLOT2,Q60634,FLOT2_MOUSE,Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1),with lipid or membrane protein-binding ability,,unknown
1,All EVs,GNA13,P27601,GNA13_MOUSE,Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13),non-tissue specific,,PM
5,Functional component of EVs: need to determine the mode of association with EVs,IL11RA,Q64385,I11RA_MOUSE,Interleukin-11 receptor subunit alpha (IL-11 receptor subunit alpha) (IL-11R subunit alpha) (IL-11R-alpha) (IL-11RA),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL13RA2 IL13R,O88786,I13R2_MOUSE,Interleukin-13 receptor subunit alpha-2 (IL-13 receptor subunit alpha-2) (IL-13R subunit alpha-2) (IL-13R-alpha-2) (IL-13RA2) (Interleukin-13-binding protein) (CD antigen CD213a2),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL19A1,Q0VF58,COJA1_MOUSE,Collagen alpha-1(XIX) chain (Collagen alpha-1(Y) chain),,,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",TOMM20,Q9DCC8,TOM20_MOUSE,Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20),mitochondrial,,
1,All EVs,SHH,Q62226,SHH_MOUSE,Sonic hedgehog protein (SHH) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)],non-tissue specific,sonic hedgehog,
3,All EVs as purity control,MRPL23 L23MRP RPL23L,O35972,RM23_MOUSE,"39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Mitochondrial large ribosomal subunit protein uL23m) (Ribosomal protein L23-like)",protein and protein/nucleic acid aggregates,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,IL17A CTLA8 IL17,Q62386,IL17_MOUSE,Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,NFIL3 E4BP4 IL3BP1,O08750,NFIL3_MOUSE,Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Interleukin-3 promoter transcriptional activator) (Interleukin-3-binding protein 1) (Transcriptional activator NF-IL3A),Cytokines and growth factors,,
1,All EVs,H2AC20 H2AFQ HIST2H2AC,Q64523,H2A2C_MOUSE,Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q),cell/tissue specific,MHC class II,
5,Functional component of EVs: need to determine the mode of association with EVs,COL24A1,Q30D77,COOA1_MOUSE,Collagen alpha-1(XXIV) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL28A1 COL28,Q2UY11,COSA1_MOUSE,Collagen alpha-1(XXVIII) chain,,,
1,All EVs,HLA-DRB5,NA,DRB5_MOUSE,"HLA class II histocompatibility antigen, DR beta 5 chain (DR beta-5) (DR2-beta-2) (Dw2) (MHC class II antigen DRB5)",cell/tissue specific,MHC class II,
2,All EVs,ANXA2R AX2R C5orf39,NA,AX2R_MOUSE,Annexin-2 receptor (Annexin II receptor) (AXIIR),with lipid or membrane protein-binding ability,Annexins,
3,All EVs as purity control,MRPL51 MRP64 CDA09 HSPC241,Q9CPY1,RM51_MOUSE,"39S ribosomal protein L51, mitochondrial (L51mt) (MRP-L51) (Mitochondrial large ribosomal subunit protein mL51) (bMRP-64) (bMRP64)",protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,RPL39P5,NA,R39L5_MOUSE,Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPS26P11 RPS26L1,NA,RS26L_MOUSE,Putative 40S ribosomal protein S26-like 1,protein and protein/nucleic acid aggregates,,
5,Functional component of EVs: need to determine the mode of association with EVs,COLEC12 CLP1 NSR2 SCARA4 SRCL,Q8K4Q8,COL12_MOUSE,Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin),adhesion and extracellular matrix proteins,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,COL5A1-AS1 C9orf104,NA,COAS1_MOUSE,Putative uncharacterized protein encoded by COL5A1-AS1 (COL5A1 antisense RNA 1) (COL5A1 antisense gene protein 1),,,
3,All EVs as purity control,MRPL2 CGI-22,Q9D773,RM02_MOUSE,"39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein uL2m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,COL13A1,Q9R1N9,CODA1_MOUSE,Collagen alpha-1(XIII) chain (COLXIIIA1),,,
2,All EVs,ACT*,Q9WTX7,FHL5_MOUSE,Four and a half LIM domains protein 5 (FHL-5) (Activator of cAMP-responsive element modulator in testis) (Activator of CREM in testis),promiscuous incorporation in EVs (and possibly exomeres),cytoskeleton,
2,All EVs,ANXA8L1 ANXA8L2,NA,AXA81_MOUSE,Annexin A8-like protein 1,with lipid or membrane protein-binding ability,Annexins,
5,Functional component of EVs: need to determine the mode of association with EVs,IL23R,Q8K4B4,IL23R_MOUSE,Interleukin-23 receptor (IL-23 receptor) (IL-23R),Cytokines and growth factors,,
3,All EVs as purity control,RPL7L1,Q9D8M4,RL7L_MOUSE,60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1),protein and protein/nucleic acid aggregates,,NUCLEUS
5,Functional component of EVs: need to determine the mode of association with EVs,IL31,Q6EAL8,IL31_MOUSE,Interleukin-31 (IL-31),Cytokines and growth factors,,
1,All EVs,H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4,Q6GSS7,H2A2A_MOUSE,Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o),cell/tissue specific,MHC class II,unknown
3,All EVs as purity control,RPL13AP3,NA,R13P3_MOUSE,Putative 60S ribosomal protein L13a protein RPL13AP3 (60S ribosomal protein L13a pseudogene 3),protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,MRPL14 MRPL32 RPML32,Q9D1I6,RM14_MOUSE,"39S ribosomal protein L14, mitochondrial (L14mt) (MRP-L14) (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32) (Mitochondrial large ribosomal subunit protein uL14m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,RPL22L1,Q9D7S7,RL22L_MOUSE,60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
5,Functional component of EVs: need to determine the mode of association with EVs,IL27RA CRL1 TCCR WSX1 UNQ296/PRO336,O70394,I27RA_MOUSE,Interleukin-27 receptor subunit alpha (IL-27 receptor subunit alpha) (IL-27R subunit alpha) (IL-27R-alpha) (IL-27RA) (Cytokine receptor WSX-1) (Cytokine receptor-like 1) (Type I T-cell cytokine receptor) (TCCR) (ZcytoR1),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,C17orf99 IL40 UNQ464/PRO809,Q9CX63,IL40_MOUSE,Protein IL-40 (Interleukin-40) (IL-40),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL20RB DIRS1 UNQ557/PRO1114,NA,I20RB_MOUSE,Interleukin-20 receptor subunit beta (IL-20 receptor subunit beta) (IL-20R-beta) (IL-20RB) (Fibronectin type III domain containing 6) (FNDC6) (IL-20R2),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL34 C16orf77,Q8R1R4,IL34_MOUSE,Interleukin-34 (IL-34),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL25A1-DT ZCCHC23,NA,COLDT_MOUSE,Putative uncharacterized protein COL25A1-DT (COL25A1 divergent transcript) (Zinc finger CCHC domain-containing protein 23),,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL17REL,NA,I17EL_MOUSE,Putative interleukin-17 receptor E-like (IL-17 receptor E-like) (IL-17RE-like),Cytokines and growth factors,,
1,All EVs,H2AZ2 H2AFV H2AV,Q3THW5,H2AV_MOUSE,Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2),cell/tissue specific,MHC class II,
3,All EVs as purity control,RPS27L,Q6ZWY3,RS27L_MOUSE,40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like),protein and protein/nucleic acid aggregates,,
1,All EVs,H2AW HIST3H2A,Q8BFU2,H2A3_MOUSE,Histone H2A type 3,cell/tissue specific,MHC class II,
2,All EVs,CHMP1b,NA,CHM1B_MOUSE,Charged multivesicular body protein 1b (CHMP1.5) (Chromatin-modifying protein 1b) (CHMP1b) (Vacuolar protein sorting-associated protein 46-2) (Vps46-2) (hVps46-2),with lipid or membrane protein-binding ability,,unknown
3,All EVs as purity control,MRPL21,Q9D1N9,RM21_MOUSE,"39S ribosomal protein L21, mitochondrial (L21mt) (MRP-L21) (Mitochondrial large ribosomal subunit protein bL21m)",protein and protein/nucleic acid aggregates,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",ATG9A,Q68FE2,ATG9A_MOUSE,Autophagy-related protein 9A (APG9-like 1) (mATG9),others,,unknown
3,All EVs as purity control,MRPL55 UNQ5835/PRO19675,Q9CZ83,RM55_MOUSE,"39S ribosomal protein L55, mitochondrial (L55mt) (MRP-L55) (Mitochondrial large ribosomal subunit protein bL31m) (Mitochondrial large ribosomal subunit protein mL55)",protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,MRPL10 MRPL8 RPML8,Q3TBW2,RM10_MOUSE,"39S ribosomal protein L10, mitochondrial (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8) (Mitochondrial large ribosomal subunit protein uL10m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,MRPL52,Q9D0Y8,RM52_MOUSE,"39S ribosomal protein L52, mitochondrial (L52mt) (MRP-L52) (Mitochondrial large ribosomal subunit protein mL52)",protein and protein/nucleic acid aggregates,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL23A1,Q8K4G2,CONA1_MOUSE,Collagen alpha-1(XXIII) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,IFNL1 IL29 ZCYTO21,NA,IFNL1_MOUSE,Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IFNLR1 IL28RA LICR2,Q8CGK5,INLR1_MOUSE,Interferon lambda receptor 1 (IFN-lambda receptor 1) (IFN-lambda-R1) (Cytokine receptor class-II member 12) (Cytokine receptor family 2 member 12) (CRF2-12) (Interleukin-28 receptor subunit alpha) (IL-28 receptor subunit alpha) (IL-28R-alpha) (IL-28RA) (Likely interleukin or cytokine receptor 2) (LICR2),Cytokines and growth factors,,
1,All EVs,H2AC21 HIST2H2AB,Q64522,H2A2B_MOUSE,Histone H2A type 2-B (H2A-clustered histone 21),cell/tissue specific,MHC class II,NUCLEUS-CHROMATIN
3,All EVs as purity control,MRPL41 BMRP MRPL27 RPML27 PIG3,Q9CQN7,RM41_MOUSE,"39S ribosomal protein L41, mitochondrial (L41mt) (MRP-L41) (39S ribosomal protein L27 homolog) (Bcl-2-interacting mitochondrial ribosomal protein L41) (Cell proliferation-inducing gene 3 protein) (MRP-L27 homolog) (Mitochondrial large ribosomal subunit protein mL41)",protein and protein/nucleic acid aggregates,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,COL27A1 KIAA1870,Q5QNQ9,CORA1_MOUSE,Collagen alpha-1(XXVII) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,IFNL2 IL28A ZCYTO20,Q4VK74,IFNL2_MOUSE,Interferon lambda-2 (IFN-lambda-2) (Cytokine Zcyto20) (Interleukin-28A) (IL-28A),Cytokines and growth factors,,
3,All EVs as purity control,MRPL50,Q8VDT9,RM50_MOUSE,"39S ribosomal protein L50, mitochondrial (L50mt) (MRP-L50) (Mitochondrial large ribosomal subunit protein mL50)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,IL22RA1 IL22R,Q80XZ4,I22R1_MOUSE,Interleukin-22 receptor subunit alpha-1 (IL-22 receptor subunit alpha-1) (IL-22R-alpha-1) (IL-22RA1) (Cytokine receptor class-II member 9) (Cytokine receptor family 2 member 9) (CRF2-9) (ZcytoR11),Cytokines and growth factors,,
3,All EVs as purity control,MRPL43,Q99N89,RM43_MOUSE,"39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,IL17RC UNQ6118/PRO20040/PRO38901,Q8K4C2,I17RC_MOUSE,Interleukin-17 receptor C (IL-17 receptor C) (IL-17RC) (Interleukin-17 receptor homolog) (IL17Rhom) (Interleukin-17 receptor-like protein) (IL-17RL) (ZcytoR14),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL27 IL27A IL30,Q8K3I6,IL27A_MOUSE,Interleukin-27 subunit alpha (IL-27 subunit alpha) (IL-27-A) (IL27-A) (Interleukin-30) (p28),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL17RD IL17RLM SEF UNQ6115/PRO20026,Q8JZL1,I17RD_MOUSE,Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (IL17Rhom) (Interleukin-17 receptor-like protein) (Sef homolog) (hSef),Cytokines and growth factors,,PM
5,Functional component of EVs: need to determine the mode of association with EVs,IL17RE UNQ3056/PRO9877,Q8BH06,I17RE_MOUSE,Interleukin-17 receptor E (IL-17 receptor E) (IL-17RE),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL22A1,NA,COMA1_MOUSE,Collagen alpha-1(XXII) chain,,,unknown
3,All EVs as purity control,RPLP0P6,NA,RLA0L_MOUSE,60S acidic ribosomal protein P0-like (Large ribosomal subunit protein uL10-like),protein and protein/nucleic acid aggregates,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL31RA CRL3 GPL UNQ6368/PRO21073/PRO21384,Q8K5B1,IL31R_MOUSE,Interleukin-31 receptor subunit alpha (IL-31 receptor subunit alpha) (IL-31R subunit alpha) (IL-31R-alpha) (IL-31RA) (Cytokine receptor-like 3) (GLM-R) (hGLM-R) (Gp130-like monocyte receptor) (Gp130-like receptor) (ZcytoR17),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL17D UNQ3096/PRO21175,NA,IL17D_MOUSE,Interleukin-17D (IL-17D) (Interleukin-27) (IL-27),Cytokines and growth factors,,
3,All EVs as purity control,GADD45GIP1 MRPL59 PLINP1 PRG6,Q9CR59,G45IP_MOUSE,"Growth arrest and DNA damage-inducible proteins-interacting protein 1 (39S ribosomal protein L59, mitochondrial) (MRP-L59) (CKII beta-associating protein) (CR6-interacting factor 1) (CRIF1) (Mitochondrial large ribosomal subunit protein mL64) (Papillomavirus L2-interacting nuclear protein 1) (PLINP) (PLINP-1) (p53-responsive gene 6 protein)",protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,MRPL30 MRPL28 RPML28 HSPC249,Q9D7N6,RM30_MOUSE,"39S ribosomal protein L30, mitochondrial (L30mt) (MRP-L30) (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (Mitochondrial large ribosomal subunit protein uL30m)",protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,RPS4Y2 RPS4Y2P,NA,RS4Y2_MOUSE,"40S ribosomal protein S4, Y isoform 2 (Small ribosomal subunit protein eS4)",protein and protein/nucleic acid aggregates,,
2,All EVs,"ALIX,PDCD6IP",Q9WU78,PDC6I_MOUSE,Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95),with lipid or membrane protein-binding ability,,unknown
2,All EVs,CHMP7,Q8R1T1,CHMP7_MOUSE,Charged multivesicular body protein 7 (Chromatin-modifying protein 7),with lipid or membrane protein-binding ability,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL1F10 FIL1T IL1HY2 IL38 FKSG75 UNQ6119/PRO20041,Q8R459,IL1FA_MOUSE,Interleukin-1 family member 10 (IL-1F10) (Family of interleukin 1-theta) (FIL1 theta) (Interleukin-1 HY2) (IL-1HY2) (Interleukin-1 theta) (IL-1 theta) (Interleukin-38) (IL-38),Cytokines and growth factors,,
3,All EVs as purity control,MRPS27 KIAA0264,Q8BK72,RT27_MOUSE,"28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27) (Mitochondrial small ribosomal subunit protein mS27)",protein and protein/nucleic acid aggregates,,unknown
3,All EVs as purity control,MRPS31 IMOGN38,Q61733,RT31_MOUSE,"28S ribosomal protein S31, mitochondrial (MRP-S31) (S31mt) (Imogen 38) (Mitochondrial small ribosomal subunit protein mS31)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,RPL3L,NA,RL3L_MOUSE,60S ribosomal protein L3-like (Large ribosomal subunit protein uL3-like),protein and protein/nucleic acid aggregates,,
1,All EVs,H2AC6 H2AFL HIST1H2AC,C0HKE2,H2A1C_MOUSE,Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l),cell/tissue specific,MHC class II,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2AC6 H2AFL HIST1H2AC,C0HKE2,H2A1C_MOUSE,Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l),nucleus,Histones,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC9 H2BFJ HIST1H2BH,Q64478,H2B1H_MOUSE,Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j),nucleus,Histones,
5,Functional component of EVs: need to determine the mode of association with EVs,IL22RA2 UNQ5793/PRO19598/PRO19822,Q80XF5,I22R2_MOUSE,"Interleukin-22 receptor subunit alpha-2 (IL-22 receptor subunit alpha-2) (IL-22R-alpha-2) (IL-22RA2) (Cytokine receptor class-II member 10) (Cytokine receptor family 2 member 10) (CRF2-10) (Cytokine receptor family type 2, soluble 1) (CRF2-S1) (Interleukin-22-binding protein) (IL-22BP) (IL22BP) (ZcytoR16)",Cytokines and growth factors,,
3,All EVs as purity control,RPL36AL,NA,RL36L_MOUSE,60S ribosomal protein L36a-like (Large ribosomal subunit protein eL42-like),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC1 HIST1H2BA TSH2B,P70696,H2B1A_MOUSE,"Histone H2B type 1-A (Histone H2B, testis) (TSH2B.1) (hTSH2B) (Testis-specific histone H2B)",nucleus,Histones,
3,All EVs as purity control,MRPL24,Q9CQ06,RM24_MOUSE,"39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24) (Mitochondrial large ribosomal subunit protein uL24m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,COL26A1 EMID2 EMU2,Q91VF6,COQA1_MOUSE,Collagen alpha-1(XXVI) chain (Alpha-1 type XXVI collagen) (EMI domain-containing protein 2) (Emilin and multimerin domain-containing protein 2) (Emu2),,,
3,All EVs as purity control,CHCHD1 C10orf34 MRPS37,Q9CQA6,CHCH1_MOUSE,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 (28S ribosomal protein S37, mitochondrial) (MRP-S37) (Mitochondrial small ribosomal subunit protein mS37) (Nuclear protein C2360)",protein and protein/nucleic acid aggregates,,
2,All EVs,CHMP4c,Q9D7F7,CHM4C_MOUSE,Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c) (SNF7 homolog associated with Alix 3) (SNF7-3) (hSnf7-3) (Vacuolar protein sorting-associated protein 32-3) (Vps32-3) (hVps32-3),with lipid or membrane protein-binding ability,,
3,All EVs as purity control,MRPL38 HSPC262,Q8K2M0,RM38_MOUSE,"39S ribosomal protein L38, mitochondrial (L38mt) (MRP-L38) (Mitochondrial large ribosomal subunit protein mL38)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,RPL39L RPL39L1,NA,RL39L_MOUSE,60S ribosomal protein L39-like (60S ribosomal protein L39-2) (Large ribosomal subunit protein eL39-like),protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,MRPS24 HSPC335,Q9CQV5,RT24_MOUSE,"28S ribosomal protein S24, mitochondrial (MRP-S24) (S24mt) (Mitochondrial small ribosomal subunit protein uS3m) (bMRP-47) (bMRP47)",protein and protein/nucleic acid aggregates,,
3,All EVs as purity control,MRPL53,Q9D1H8,RM53_MOUSE,"39S ribosomal protein L53, mitochondrial (L53mt) (MRP-L53) (Mitochondrial large ribosomal subunit protein mL53)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
3,All EVs as purity control,PTCD3 MRPS39 TRG15,Q14C51,PTCD3_MOUSE,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial (28S ribosomal protein S39, mitochondrial) (MRP-S39) (Mitochondrial small ribosomal subunit protein mS39) (Transformation-related gene 15 protein) (TRG-15)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,IL17RA IL17R,Q60943,I17RA_MOUSE,Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217),Cytokines and growth factors,,unknown
2,All EVs,CHMP6,P0C0A3,CHMP6_MOUSE,Charged multivesicular body protein 6 (Chromatin-modifying protein 6) (Vacuolar protein sorting-associated protein 20) (Vps20) (hVps20),with lipid or membrane protein-binding ability,,PM
3,All EVs as purity control,MRPL48 CGI-118 HSPC290,Q8JZS9,RM48_MOUSE,"39S ribosomal protein L48, mitochondrial (L48mt) (MRP-L48) (Mitochondrial large ribosomal subunit protein mL48)",protein and protein/nucleic acid aggregates,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2AC12 HIST1H2AH HIST1H2AI,Q8CGP6,H2A1H_MOUSE,Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s),nucleus,Histones,
3,All EVs as purity control,RPL10L,P86048,RL10L_MOUSE,60S ribosomal protein L10-like (Large ribosomal subunit protein uL16-like),protein and protein/nucleic acid aggregates,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL21A1 COL1AL FP633,NA,COLA1_MOUSE,Collagen alpha-1(XXI) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL17F,Q7TNI7,IL17F_MOUSE,Interleukin-17F (IL-17F) (Cytokine ML-1),Cytokines and growth factors,,
1,All EVs,H2AC1 H2AFR HIST1H2AA,NA,H2A1A_MOUSE,Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r),cell/tissue specific,MHC class II,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2AC1 H2AFR HIST1H2AA,NA,H2A1A_MOUSE,Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r),nucleus,Histones,
5,Functional component of EVs: need to determine the mode of association with EVs,IL4I1 FIG1 UNQ636/PRO1265,O09046,OXLA_MOUSE,L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2) (Interleukin-4-induced protein 1) (IL4-induced protein 1) (Protein Fig-1) (hFIG1),Cytokines and growth factors,,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H4C7 H4/L H4FL HIST1H4G,NA,H4G_MOUSE,Histone H4-like protein type G (H4-clustered histone 7),nucleus,Histones,
5,Functional component of EVs: need to determine the mode of association with EVs,IL12RB2,P97378,I12R2_MOUSE,Interleukin-12 receptor subunit beta-2 (IL-12 receptor subunit beta-2) (IL-12R subunit beta-2) (IL-12R-beta-2) (IL-12RB2),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL12A1 COL12A1L,Q60847,COCA1_MOUSE,Collagen alpha-1(XII) chain,,,unknown
2,All EVs,TSG101,Q61187,TS101_MOUSE,Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101),with lipid or membrane protein-binding ability,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC15 H2BFD HIST1H2BN,NA,H2B1N_MOUSE,Histone H2B type 1-N (Histone H2B.d) (H2B/d),nucleus,Histones,
1,All EVs,H2AC14 H2AFE HIST1H2AJ,NA,H2A1J_MOUSE,Histone H2A type 1-J (Histone H2A/e),cell/tissue specific,MHC class II,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2AC14 H2AFE HIST1H2AJ,NA,H2A1J_MOUSE,Histone H2A type 1-J (Histone H2A/e),nucleus,Histones,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC14 H2BFE HIST1H2BM,P10854,H2B1M_MOUSE,Histone H2B type 1-M (Histone H2B.e) (H2B/e),nucleus,Histones,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC13 H2BFC HIST1H2BL,NA,H2B1L_MOUSE,Histone H2B type 1-L (Histone H2B.c) (H2B/c),nucleus,Histones,
3,All EVs as purity control,MRPL34,Q99N91,RM34_MOUSE,"39S ribosomal protein L34, mitochondrial (L34mt) (MRP-L34) (Mitochondrial large ribosomal subunit protein bL34m)",protein and protein/nucleic acid aggregates,,unknown
