"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"2763","nans","N-acetylneuraminic acid synthase (Sialic acid synthase)","Q99J77","Q99J77_MOUSE","cytosol,extracellular exosome","carbohydrate biosynthetic process","N-acylneuraminate-9-phosphate synthase activity",3.85e-13,"1","4","4","5","3","7","6","Filtered","1","4","4","5","3","7","6","Filtered","6.638382912","11.38615227","14.22184563","30.54692841","14.72612667","28.19734383","34.87965012","Filtered"
"2764","atg5","Autophagy protein 5","Q99J83","ATG5_MOUSE","cytoplasm,autophagosome,cytosol,axoneme,membrane,pre-autophagosomal structure membrane,Atg12-Atg5-Atg16 complex,ER-mitochondrion membrane contact site","autophagosome assembly,mitophagy,blood vessel remodeling,regulation of cytokine secretion involved in immune response,autophagy,apoptotic process,cellular response to nitrogen starvation,cellular response to starvation,response to fungus,macroautophagy,cellular homeostasis,antigen processing and presentation of endogenous antigen,negative regulation of protein ubiquitination,negative regulation of type I interferon production,aggrephagy,negative stranded viral RNA replication,vasodilation,response to drug,negative regulation of apoptotic process,post-translational protein modification,nucleophagy,negative thymic T cell selection,innate immune response,otolith development,negative regulation of phagocytosis,regulation of release of sequestered calcium ion into cytosol,ventricular cardiac muscle cell development,heart contraction,negative regulation of cell death,protein lipidation involved in autophagosome assembly,positive regulation of mucus secretion,cellular response to nitrosative stress,autophagy of host cells involved in interaction with symbiont,regulation of cilium assembly,regulation of reactive oxygen species metabolic process,negative regulation of reactive oxygen species metabolic process,negative regulation of histone H4-K16 acetylation","protein binding,Atg8 ligase activity",2.39e-07,"1","2","1","1","2","2","Filtered","1","1","2","1","1","2","2","Filtered","0","5.173746586","6.827390671","6.811175346","6.542858124","5.738019943","6.412008286","Filtered","NaN"
"2765","slco1a6","Solute carrier organic anion transporter family member 1A6","Q99J94","SO1A6_MOUSE","integral component of plasma membrane","xenobiotic metabolic process,bile acid metabolic process,animal organ regeneration,multicellular organism growth,heme metabolic process,response to drug,cholesterol homeostasis,sodium-independent organic anion transport,triglyceride homeostasis","sodium-independent organic anion transmembrane transporter activity",1.81e-15,"2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","2","36.64180374","15.18584347","24.75384712","17.36258125","25.48505974","7.056658745","41.85963821","20.04950714"
"2766","stoml2","Stomatin-like protein 2, mitochondrial","Q99JB2","STML2_MOUSE","mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space,extrinsic component of plasma membrane,membrane raft,immunological synapse,COP9 signalosome,actin cytoskeleton,T cell receptor complex","mitochondrial calcium ion transport,cellular calcium ion homeostasis,mitochondrion organization,lipid localization,positive regulation of mitochondrial membrane potential,interleukin-2 production,mitochondrial protein processing,CD4-positive, alpha-beta T cell activation,mitochondrial ATP synthesis coupled proton transport,T cell receptor signaling pathway,protein oligomerization,positive regulation of mitochondrial DNA replication,positive regulation of cardiolipin metabolic process,stress-induced mitochondrial fusion,mitochondrion localization","GTPase binding,cardiolipin binding",7.31e-54,"5","6","4","5","4","6","8","3","5","6","4","5","4","6","8","3","36.42982101","51.33912277","41.50769806","31.16431999","35.61178207","30.26239395","78.71722412","32.32656479"
"2767","amn","Protein amnionless","Q99JB7","AMNLS_MOUSE","extracellular space,endosome,clathrin-coated pit,integral component of membrane,apical plasma membrane,endocytic vesicle,brush border membrane,protein complex,apical part of cell,extracellular exosome","receptor-mediated endocytosis,multicellular organism development,excretion,protein localization,cobalamin transport,Golgi to plasma membrane protein transport","receptor binding",3.9e-06,"3","3","5","2","3","3","5","3","3","3","5","2","3","3","5","3","24.56095314","24.50790024","20.28195763","23.32662964","27.15257835","14.37226295","15.68482399","18.23274422"
"2768","mvd","Diphosphomevalonate decarboxylase","Q99JF5","MVD1_MOUSE","cytosol","cholesterol biosynthetic process,positive regulation of cell proliferation,isoprenoid biosynthetic process,isopentenyl diphosphate biosynthetic process, mevalonate pathway","diphosphomevalonate decarboxylase activity,ATP binding,Hsp70 protein binding,protein homodimerization activity",3.09e-16,"2","2","4","3","2","3","Filtered","3","2","2","4","3","2","3","Filtered","3","19.99548912","6.858790398","14.29410362","8.259451866","15.42533779","5.484315395","Filtered","11.52737236"
"2769","psip1","PC4 and SFRS1-interacting protein","Q99JF8","PSIP1_MOUSE","nucleus,nucleoplasm,nuclear heterochromatin,nuclear periphery,transcriptionally active chromatin","mRNA 5'-splice site recognition,transcription, DNA-templated,response to oxidative stress,response to heat,positive regulation of transcription from RNA polymerase II promoter","RNA polymerase II transcription coactivator activity,chromatin binding,RNA binding,activating transcription factor binding,supercoiled DNA binding",1.16e-07,"2","4","3","2","2","6","2","Filtered","2","4","3","2","2","6","2","Filtered","12.38009739","14.86457443","10.54669666","15.16798306","3.916022062","18.92144966","8.280268669","Filtered"
"2770","anxa13","Annexin A13","Q99JG3","ANX13_MOUSE","extracellular space,nucleoplasm,plasma membrane,extracellular exosome","biological_process","phosphatidylserine binding,calcium ion binding,calcium-dependent phospholipid binding,phosphatidylglycerol binding",1.72e-63,"4","2","4","1","4","2","3","2","4","2","4","1","4","2","3","2","21.74219513","8.26800251","30.3560276","17.51681328","31.4602356","7.41512394","34.75345612","28.5311985"
"2771","psmd6","26S proteasome non-ATPase regulatory subunit 6","Q99JI4","PSMD6_MOUSE","proteasome complex,proteasome regulatory particle,proteasome accessory complex,periplasmic space,extracellular exosome","proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of catalytic activity","hydrolase activity, hydrolyzing O-glycosyl compounds,enzyme regulator activity",6.75e-51,"8","9","7","10","5","13","8","8","8","9","7","10","5","13","8","8","45.27955627","53.7052803","42.58459091","47.01779175","41.65929794","54.94405365","53.74113083","40.66955185"
"2772","rap1b","Ras-related protein Rap-1b","Q99JI6","RAP1B_MOUSE","intracellular,lipid particle,cytosol,plasma membrane,cell-cell junction,extracellular exosome","small GTPase mediated signal transduction,cell proliferation,response to carbohydrate,Rap protein signal transduction,cellular response to drug,negative regulation of calcium ion-dependent exocytosis,establishment of endothelial barrier,positive regulation of ERK1 and ERK2 cascade,cellular response to cAMP,cellular response to gonadotropin-releasing hormone,regulation of cell junction assembly,regulation of establishment of cell polarity,negative regulation of synaptic vesicle exocytosis","GTPase activity,protein binding,GTP binding,GDP binding,protein complex binding",1.64e-43,"3","4","3","5","3","5","3","3","3","4","3","5","3","5","3","3","51.95875549","63.72125244","47.98627853","51.97779846","37.02904892","51.19986725","57.35808945","29.23903847"
"2773","sfxn1","Sideroflexin-1","Q99JR1","SFXN1_MOUSE","mitochondrion,mitochondrial inner membrane,integral component of membrane","iron ion transport,erythrocyte differentiation,ion transmembrane transport,iron ion homeostasis","molecular_function,ion transmembrane transporter activity",1.45e-43,"14","11","14","12","14","12","10","13","14","11","14","12","14","12","10","13","379.1190491","233.5103455","460.643219","236.4069214","388.3748474","137.2186737","116.4838791","462.5080872"
"2774","adi1","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase","Q99JT9","MTND_MOUSE","nucleus,cytoplasm,plasma membrane","methionine metabolic process,L-methionine biosynthetic process from methylthioadenosine,oxidation-reduction process","acireductone dioxygenase [iron(II)-requiring] activity,oxidoreductase activity,metal ion binding",2.64e-09,"4","5","1","3","2","5","2","4","4","5","1","3","2","5","2","4","12.29340458","22.16051292","21.33403015","15.68966103","14.38872242","16.54499626","12.36600208","11.56992626"
"2775","epcam","Epithelial cell adhesion molecule","Q99JW5","EPCAM_MOUSE","plasma membrane,integral component of plasma membrane,bicellular tight junction,cell surface,basolateral plasma membrane,apical plasma membrane,lateral plasma membrane,extracellular exosome","ureteric bud development,positive regulation of cell proliferation,signal transduction involved in regulation of gene expression,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,stem cell differentiation,cell-cell adhesion via plasma-membrane adhesion molecules,negative regulation of cell-cell adhesion mediated by cadherin,positive regulation of cell motility,positive regulation of stem cell proliferation","protein complex binding,cadherin binding involved in cell-cell adhesion",1.36e-24,"5","4","7","4","3","6","6","5","5","4","7","4","3","6","6","5","29.48191261","11.7486372","24.97156715","11.6645565","20.99798393","23.80091858","27.18580246","17.34287262"
"2776","eif3m","Eukaryotic translation initiation factor 3 subunit M","Q99JX4","EIF3M_MOUSE","eukaryotic translation initiation factor 3 complex,eukaryotic translation initiation factor 3 complex, eIF3m","cytoplasmic translational initiation,translation","translation initiation factor binding,translation initiation factor activity",7.66e-15,"3","4","4","3","3","6","2","2","3","4","4","3","3","6","2","2","9.863017082","17.04065514","13.96702099","16.0565052","8.579598427","22.62626839","16.89414787","11.42506218"
"2777","nxf1","Nuclear RNA export factor 1","Q99JX7","NXF1_MOUSE","nucleus,nuclear pore,nucleoplasm,cytoplasm,nuclear speck,nuclear inclusion body,transcription export complex","RNA export from nucleus,mRNA export from nucleus,poly(A)+ mRNA export from nucleus","RNA binding,single-stranded RNA binding,mRNA binding,nucleocytoplasmic transporter activity,protein binding",6.93e-07,"Filtered","1","Filtered","1","Filtered","3","Filtered","Filtered","Filtered","0","Filtered","1","Filtered","3","Filtered","Filtered","Filtered","NaN","Filtered","2.174664736","Filtered","3.033234596","Filtered","Filtered"
"2778","hadhb","Trifunctional enzyme subunit beta, mitochondrial","Q99JY0","ECHB_MOUSE","mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,endoplasmic reticulum,mitochondrial fatty acid beta-oxidation multienzyme complex,mitochondrial nucleoid,extracellular exosome","fatty acid beta-oxidation","RNA binding,acetyl-CoA C-acyltransferase activity,long-chain-3-hydroxyacyl-CoA dehydrogenase activity",5.71e-57,"38","30","28","29","35","31","25","32","38","30","28","29","35","31","25","32","1105.68396","603.9577637","1068.343506","710.4803467","928.3585815","544.6762085","748.2880859","1322.925171"
"2779","actr3","Actin-related protein 3","Q99JY9","ARP3_MOUSE","cytoplasm,Arp2/3 protein complex,brush border,cell-cell junction,focal adhesion,membrane,lamellipodium,extracellular exosome","establishment or maintenance of cell polarity,asymmetric cell division,meiotic chromosome movement towards spindle pole,meiotic cytokinesis,Arp2/3 complex-mediated actin nucleation,meiotic cell cycle,spindle localization,cilium morphogenesis","structural constituent of cytoskeleton,protein binding,ATP binding,actin filament binding",3.55e-46,"18","20","18","23","19","21","22","18","18","20","18","23","19","21","22","18","196.5519714","316.4586487","190.4157104","331.591156","217.2633514","418.4785461","444.5654602","183.8529053"
"2780","sar1a","GTP-binding protein SAR1a","Q99JZ4","Q99JZ4_MOUSE","","","",1.07e-15,"8","9","6","9","7","10","8","6","8","9","6","9","7","10","8","6","149.6018982","182.2204132","145.0282593","174.5917969","177.5449677","195.8522644","244.6629639","154.2340393"
"2781","ufsp2","Ufm1-specific protease 2","Q99K23","UFSP2_MOUSE","nucleus,cytoplasm,endoplasmic reticulum","proteolysis,regulation of intracellular estrogen receptor signaling pathway","thiolester hydrolase activity,UFM1 hydrolase activity",0.001730442,"Filtered","1","1","2","2","1","1","2","Filtered","1","1","2","2","1","1","2","Filtered","10.6167078","23.47440338","6.769104958","13.64945126","10.23228741","18.31641579","23.49708176"
"2782","arfgap2","ADP-ribosylation factor GTPase-activating protein 2;Isoform 2 of ADP-ribosylation factor GTPase-activating protein 2","Q99K28;Q99K28-2","ARFG2_MOUSE","Golgi membrane,Golgi apparatus,cytosol,plasma membrane;","protein transport,vesicle-mediated transport,positive regulation of GTPase activity;","GTPase activator activity,metal ion binding;",2.4e-41,"Filtered","4","Filtered","2","1","4","Filtered","2","Filtered","4","Filtered","2","1","4","Filtered","2","Filtered","20.00666809","Filtered","11.13976669","7.040734291","8.574054718","Filtered","9.846112251"
"2783","eps8l2","Epidermal growth factor receptor kinase substrate 8-like protein 2","Q99K30","ES8L2_MOUSE","ruffle,cytosol,plasma membrane,vesicle,ruffle membrane,protein complex,extracellular exosome","Rho protein signal transduction,Rac protein signal transduction,regulation of Rho protein signal transduction,positive regulation of GTPase activity,positive regulation of ruffle assembly","actin binding,cadherin binding,actin filament binding,Rho guanyl-nucleotide exchange factor activity,Rac guanyl-nucleotide exchange factor activity",3.84e-47,"15","14","12","17","16","19","4","11","15","14","12","17","16","19","4","11","32.19574738","35.84235382","27.04470634","39.71437454","28.62587357","40.07825851","10.35459995","30.24279976"
"2784","emilin1","EMILIN-1","Q99K41","EMIL1_MOUSE","extracellular region,proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,integrin alpha4-beta1 complex,extracellular exosome,EMILIN complex","cell-matrix adhesion,positive regulation of cell-substrate adhesion,cell migration,extracellular matrix organization,protein homotrimerization","protein binding,extracellular matrix constituent conferring elasticity,identical protein binding,integrin binding involved in cell-matrix adhesion",9.39e-19,"2","8","1","7","Filtered","7","6","Filtered","2","8","1","7","Filtered","7","6","Filtered","5.951893806","14.21446705","4.938707829","12.3309164","Filtered","18.66110611","31.23313713","Filtered"
"2785","nono","Non-POU domain-containing octamer-binding protein","Q99K48","NONO_MOUSE","nucleus,nucleoplasm,nucleolus,membrane,nuclear matrix,nuclear speck,paraspeckles,RNA polymerase II transcription factor complex","mRNA splicing, via spliceosome,activation of innate immune response,DNA repair,DNA recombination,transcription, DNA-templated,circadian rhythm,regulation of circadian rhythm,negative regulation of transcription, DNA-templated,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","RNA polymerase II distal enhancer sequence-specific DNA binding,core promoter binding,chromatin binding,RNA binding,protein binding,identical protein binding",9.72e-25,"8","10","7","11","8","13","8","7","8","10","7","11","8","13","8","7","242.7318268","453.1574707","238.4725189","452.8608093","267.6961975","563.1356201","582.378479","261.977417"
"2786","aass","Alpha-aminoadipic semialdehyde synthase, mitochondrial","Q99K67","AASS_MOUSE","mitochondrion,intracellular membrane-bounded organelle","generation of precursor metabolites and energy,L-lysine catabolic process,lysine biosynthetic process via aminoadipic acid,L-lysine catabolic process to acetyl-CoA via saccharopine,oxidation-reduction process","saccharopine dehydrogenase (NADP+, L-lysine-forming) activity,saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity",1.22e-43,"46","38","41","40","41","29","17","40","46","38","41","40","41","29","17","40","306.3210449","149.2145538","300.2096252","149.6738129","297.2073975","87.23377991","82.61341095","304.6369324"
"2787","psat1","Phosphoserine aminotransferase","Q99K85","SERC_MOUSE","cytoplasm,cytosol,extracellular exosome","L-serine biosynthetic process","O-phospho-L-serine:2-oxoglutarate aminotransferase activity",2.98e-28,"6","10","7","8","6","10","6","6","6","10","7","8","6","10","6","6","42.81305695","63.83760071","38.33568954","48.82403183","37.4634285","43.54246521","34.74793625","39.58734894"
"2788","vwa5a","von Willebrand factor A domain-containing protein 5A","Q99KC8","VMA5A_MOUSE","","biological_process","molecular_function",4.5e-60,"10","16","8","15","9","22","12","11","10","16","8","15","9","22","12","11","31.6346817","96.86212158","25.98252678","94.54806519","34.94205475","118.5033722","72.12364197","24.77764893"
"2789","tmed9","Transmembrane emp24 domain-containing protein 9","Q99KF1","TMED9_MOUSE","Golgi membrane,endoplasmic reticulum,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment,Golgi apparatus,integral component of membrane,endoplasmic reticulum-Golgi intermediate compartment membrane,extracellular exosome","Golgi organization,positive regulation of organelle organization,protein transport,COPI coating of Golgi vesicle","syntaxin binding",3e-20,"6","4","4","6","4","6","4","5","6","4","4","6","4","6","4","5","28.50927734","52.99760437","16.53593636","37.65485001","26.57715416","41.3752594","52.21076584","28.48252869"
"2790","rbm10","RNA-binding protein 10;Isoform 2 of RNA-binding protein 10;Isoform 3 of RNA-binding protein 10","Q99KG3;Q99KG3-2;Q99KG3-3","RBM10_MOUSE","nucleus,nuclear speck;;","negative regulation of transcription from RNA polymerase II promoter,regulation of alternative mRNA splicing, via spliceosome,negative regulation of cell proliferation,RNA splicing,regulation of smooth muscle cell apoptotic process,positive regulation of smooth muscle cell apoptotic process,negative regulation of mRNA splicing, via spliceosome,3'-UTR-mediated mRNA stabilization;;","RNA binding,protein complex binding,miRNA binding,identical protein binding,metal ion binding;;",0.001119097,"Filtered","1","Filtered","1","1","3","1","Filtered","Filtered","1","Filtered","1","1","3","1","Filtered","Filtered","7.114398956","Filtered","17.05396652","20.76244736","14.02474213","18.79806709","Filtered"
"2791","stk24","Serine/threonine-protein kinase 24","Q99KH8","STK24_MOUSE","nucleus,nucleolus,cytoplasm,cytosol,membrane,extracellular exosome","MAPK cascade,activation of MAPKKK activity,protein phosphorylation,regulation of mitotic cell cycle,intrinsic apoptotic signaling pathway in response to oxidative stress,cellular response to starvation,negative regulation of cell migration,stress-activated protein kinase signaling cascade,response to hydrogen peroxide,regulation of apoptotic process,protein autophosphorylation,regulation of axon regeneration,neuron projection morphogenesis,execution phase of apoptosis","protein serine/threonine kinase activity,ATP binding,MAP kinase kinase kinase kinase activity,cadherin binding,metal ion binding",0.004798929,"Filtered","Filtered","Filtered","1","1","Filtered","Filtered","1","Filtered","Filtered","Filtered","1","1","Filtered","Filtered","0","Filtered","Filtered","Filtered","12.45093536","5.166054726","Filtered","Filtered","NaN"
"2792","aco2","Aconitate hydratase, mitochondrial","Q99KI0","ACON_MOUSE","mitochondrion,myelin sheath","liver development,tricarboxylic acid cycle,citrate metabolic process,isocitrate metabolic process,response to isolation stress","aconitate hydratase activity,iron ion binding,3 iron, 4 sulfur cluster binding,4 iron, 4 sulfur cluster binding",2.08e-59,"66","60","63","62","70","58","41","63","66","60","63","62","70","58","41","63","2133.721924","903.7826538","2078.553711","934.8828125","1851.196899","676.0848999","453.3978271","1962.425659"
"2793","dctn2","Dynactin subunit 2","Q99KJ8","DCTN2_MOUSE","kinetochore,cytoplasm,centrosome,cytosol,dynactin complex,microtubule,membrane,dynein complex,growth cone,vesicle,extracellular exosome","mitotic cell cycle,mitotic spindle organization,cell proliferation,melanosome transport,protein localization to centrosome","motor activity,protein binding,spectrin binding,identical protein binding",6.07e-53,"16","21","13","19","14","22","15","16","16","21","13","19","14","22","15","16","99.21218872","131.2216644","110.5175781","133.1709595","96.86076355","154.4042358","81.9077301","82.87602234"
"2794","dpp3","Dipeptidyl peptidase 3","Q99KK7","DPP3_MOUSE","cytoplasm,cytosol,plasma membrane,nuclear speck,extracellular exosome","proteolysis","metallopeptidase activity,dipeptidyl-peptidase activity,zinc ion binding",1.37e-61,"11","12","12","16","9","18","9","8","11","12","12","16","9","18","9","8","36.05826187","48.40254974","37.07806396","62.35783768","40.22083282","65.51782227","52.84475708","34.09738541"
"2795","cryl1","Lambda-crystallin homolog","Q99KP3","CRYL1_MOUSE","cytosol,extracellular exosome","fatty acid metabolic process,oxidation-reduction process","3-hydroxyacyl-CoA dehydrogenase activity,protein homodimerization activity,L-gulonate 3-dehydrogenase activity,NAD+ binding",8.13e-53,"21","19","19","18","21","22","9","21","21","19","19","18","21","22","9","21","931.1065674","696.5643921","937.194397","674.0618286","895.0702515","512.6381836","135.7266846","1010.440491"
"2796","prpf19","Pre-mRNA-processing factor 19","Q99KP6","PRP19_MOUSE","Prp19 complex,nucleus,spliceosomal complex,cytoplasm,lipid particle,spindle,membrane,nuclear speck,site of double-strand break,catalytic step 2 spliceosome,DNA replication factor A complex","protein polyubiquitination,spliceosomal tri-snRNP complex assembly,spliceosomal complex assembly,generation of catalytic spliceosome for first transesterification step,mRNA splicing, via spliceosome,inner cell mass cell proliferation,double-strand break repair via nonhomologous end joining,lipid biosynthetic process,proteasomal protein catabolic process,cellular protein localization,negative regulation of neuron differentiation,positive regulation of neuron differentiation,positive regulation of mRNA splicing, via spliceosome,positive regulation of astrocyte differentiation,protein K63-linked ubiquitination,signal transduction involved in DNA damage checkpoint","ubiquitin-protein transferase activity,protein binding,ubiquitin-ubiquitin ligase activity,identical protein binding,ubiquitin protein ligase activity",5.89e-47,"10","13","8","12","10","17","15","10","10","13","8","12","10","17","15","10","81.05888367","116.5024261","61.98553467","149.8188782","77.17302704","170.41539","172.4264984","66.40319824"
"2797","nampt","Nicotinamide phosphoribosyltransferase","Q99KQ4","NAMPT_MOUSE","cytoplasm,cytosol,nuclear speck,cell junction,extracellular exosome","female pregnancy,circadian rhythm,NAD biosynthetic process,regulation of receptor activity,response to organic cyclic compound,circadian regulation of gene expression,positive regulation of transcription from RNA polymerase II promoter,positive regulation of smooth muscle cell proliferation,positive regulation of nitric-oxide synthase biosynthetic process","nicotinate-nucleotide diphosphorylase (carboxylating) activity,cytokine activity,drug binding,identical protein binding,protein homodimerization activity,nicotinamide phosphoribosyltransferase activity",5.54e-26,"17","18","15","17","15","18","9","17","17","18","15","17","15","18","9","17","153.7822876","150.4155426","142.9867554","150.7213593","137.4894867","136.205658","65.42576599","141.5651398"
"2798","lactb2","Endoribonuclease LACTB2","Q99KR3","LACB2_MOUSE","mitochondrion,mitochondrial matrix","RNA phosphodiester bond hydrolysis, endonucleolytic","single-stranded RNA binding,endoribonuclease activity,zinc ion binding",8.9e-77,"19","18","18","17","19","15","12","19","19","18","18","17","19","15","12","19","1228.660034","641.5275269","1291.891968","670.8272095","1102.748901","443.7503662","226.8100281","1336.771729"
"2799","ppif","Peptidyl-prolyl cis-trans isomerase F, mitochondrial","Q99KR7","PPIF_MOUSE","mitochondrion,mitochondrial permeability transition pore complex,mitochondrial matrix,mitochondrial proton-transporting ATP synthase complex","protein peptidyl-prolyl isomerization,response to ischemia,protein folding,response to oxidative stress,apoptotic mitochondrial changes,regulation of proton-transporting ATPase activity, rotational mechanism,regulation of necrotic cell death,negative regulation of ATPase activity,negative regulation of apoptotic process,regulation of mitochondrial membrane permeability,necroptotic process,cellular response to hydrogen peroxide,cellular response to arsenic-containing substance,cellular response to calcium ion,positive regulation of release of cytochrome c from mitochondria,negative regulation of release of cytochrome c from mitochondria,negative regulation of oxidative phosphorylation,regulation of mitochondrial membrane permeability involved in programmed necrotic cell death,negative regulation of oxidative phosphorylation uncoupler activity,negative regulation of intrinsic apoptotic signaling pathway","peptidyl-prolyl cis-trans isomerase activity,protein binding,cyclosporin A binding",1.32e-14,"6","6","4","5","4","5","2","4","6","6","4","5","4","5","2","4","125.7169724","50.14455795","121.3371429","50.50826263","103.4878082","32.42834091","31.07975388","87.43952179"
"2800","dnajb11","DnaJ homolog subfamily B member 11","Q99KV1","DJB11_MOUSE","nucleus,cytoplasm,endoplasmic reticulum,endoplasmic reticulum lumen,membrane,endoplasmic reticulum chaperone complex","protein folding,mRNA modification,positive regulation of ATPase activity","protein binding,unfolded protein binding",7.58e-52,"4","7","4","7","5","5","6","4","4","7","4","7","5","5","6","4","26.68506622","28.38323975","23.19302177","28.99655914","31.41164398","33.7472229","48.38581467","21.27387047"
"2801","dhrs1","Dehydrogenase/reductase SDR family member 1","Q99L04","DHRS1_MOUSE","mitochondrion,mitochondrial inner membrane,endoplasmic reticulum","biological_process,oxidation-reduction process","molecular_function,oxidoreductase activity",3.88e-78,"16","14","17","14","15","16","11","14","16","14","17","14","15","16","11","14","247.3761597","216.3336639","233.4346313","194.3428802","218.1608582","207.3029175","169.0228729","254.3522491"
"2802","hibadh","3-hydroxyisobutyrate dehydrogenase, mitochondrial","Q99L13","3HIDH_MOUSE","mitochondrion","valine catabolic process,oxidation-reduction process","phosphogluconate dehydrogenase (decarboxylating) activity,3-hydroxyisobutyrate dehydrogenase activity,NAD binding",2.02e-59,"19","14","19","14","24","15","11","15","19","14","19","14","24","15","11","15","660.3109131","313.0440369","646.1865234","306.1259155","580.0767822","204.9772186","142.1254883","752.878479"
"2803","gstt3","Glutathione S-transferase theta-3","Q99L20","GSTT3_MOUSE","cytoplasm","glutathione metabolic process","glutathione transferase activity",1.41e-32,"7","6","6","7","6","5","2","8","7","6","6","7","6","5","2","8","59.53406906","31.93433952","52.42585373","25.63549232","53.5580368","40.44400024","10.75407314","58.500103"
"2804","gmpr2","GMP reductase 2","Q99L27","GMPR2_MOUSE","GMP reductase complex","purine nucleobase metabolic process,monocyte differentiation,GMP metabolic process,GMP catabolic process,oxidation-reduction process","GMP reductase activity,metal ion binding",0.001230533,"Filtered","3","1","1","1","3","2","1","Filtered","3","1","1","0","3","2","1","Filtered","11.38875866","15.67748833","14.38985348","NaN","10.94348526","9.139677048","10.65300083"
"2805","eif2s2","Eukaryotic translation initiation factor 2 subunit 2","Q99L45","IF2B_MOUSE","cytoplasm,eukaryotic translation initiation factor 2 complex","in utero embryonic development,male germ cell proliferation,translational initiation,male gonad development","RNA binding,translation initiation factor activity,protein binding,metal ion binding",2.59e-26,"10","13","10","10","7","13","9","6","10","13","10","10","7","13","9","6","39.72819901","72.31837463","44.30748749","75.92860413","42.01774216","74.27558899","76.17503357","36.88528824"
"2806","atp6v1c2","V-type proton ATPase subunit C 2;Isoform 2 of V-type proton ATPase subunit C 2;Isoform 3 of V-type proton ATPase subunit C 2","Q99L60;Q99L60-2;Q99L60-3","VATC2_MOUSE","vacuolar proton-transporting V-type ATPase, V1 domain,lysosomal membrane,extracellular exosome;;","ATP hydrolysis coupled proton transport,positive regulation of Wnt signaling pathway;;","hydrogen-exporting ATPase activity, phosphorylative mechanism,proton-transporting ATPase activity, rotational mechanism,protein dimerization activity;;",1.98e-51,"5","3","6","3","5","4","1","8","5","3","6","3","5","4","1","8","35.90863419","9.476121902","33.02001953","17.18478584","46.25201035","10.24551582","16.64146805","36.27367783"
