"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"2654","leucyl-tRNA aminoacylation,regulation of translational fidelity,mitochondrial translation","mitochondrion,mitochondrial matrix","lars2","aminoacyl-tRNA editing activity,leucine-tRNA ligase activity,ATP binding","Probable leucine--tRNA ligase, mitochondrial","SYLM_MOUSE",0.001242018,"Q8VDC0",2,0,2,1,2,2,2,2,18.05132294,14.93038845,15.58981133,14.82073784
"2655","meiotic spindle organization,cell morphogenesis involved in differentiation,angiogenesis,in utero embryonic development,establishment of T cell polarity,membrane protein ectodomain proteolysis,phagocytosis, engulfment,cell adhesion,myoblast fusion,regulation of cell shape,protein transport,actin filament-based movement,platelet formation,monocyte differentiation,actomyosin structure organization,actin cytoskeleton reorganization,cytokinetic process,uropod organization,blood vessel endothelial cell migration,establishment of meiotic spindle localization,membrane organization,platelet aggregation,cell-cell adhesion,negative regulation of actin filament severing,positive regulation of protein processing in phagocytic vesicle,actin filament polymerization,actin filament capping","stress fiber,ruffle,uropod,nucleus,cytoplasm,actomyosin contractile ring,cytosol,plasma membrane,brush border,cell-cell adherens junction,cell cortex,actin cytoskeleton,membrane,myosin complex,myosin II complex,cortical cytoskeleton,extracellular matrix,cell leading edge,cleavage furrow,actomyosin,protein complex,extracellular exosome,myosin II filament,immunological synapse,spindle,focal adhesion,COP9 signalosome,integrin complex,neuromuscular junction","myh9","microfilament motor activity,RNA binding,actin binding,protein binding,calmodulin binding,ATP binding,ATPase activity,protein domain specific binding,actin-dependent ATPase activity,protein homodimerization activity,protein anchor,ADP binding,cadherin binding,actin filament binding","Myosin-9","MYH9_MOUSE",1.06e-53,"Q8VDD5",209,203,208,205,9,9,9,9,25103.96094,32204.7168,26811.45117,25992.97852
"2656","oocyte maturation,dendritic cell antigen processing and presentation,exocytosis,endosome organization,negative regulation of autophagy,endosomal transport,extracellular matrix disassembly,positive regulation of cell migration,regulation of actin filament polymerization,positive regulation of pseudopodium assembly,regulation of protein ubiquitination,Arp2/3 complex-mediated actin nucleation,low-density lipoprotein particle clearance,protein localization to cell surface,polar body extrusion after meiotic divisions,T cell proliferation,retrograde transport, endosome to Golgi,negative regulation of phosphatidylinositol 3-kinase activity,regulation of immune response,spindle assembly involved in meiosis,endosome to plasma membrane protein transport,positive regulation of cholesterol import,retrograde transport, endosome to plasma membrane,positive regulation of protein localization to cell surface","endosome,early endosome,autophagosome,centrosome,centriole,early endosome membrane,intracellular membrane-bounded organelle,recycling endosome,recycling endosome membrane,WASH complex,invadopodium,exocyst,BLOC-1 complex","wash1","actin binding,ubiquitin protein ligase binding,alpha-tubulin binding,gamma-tubulin binding,low-density lipoprotein particle receptor binding","WAS protein family homolog 1","WASH1_MOUSE",2.66e-25,"Q8VDD8",3,2,3,3,3,3,3,3,89.4152832,87.23631287,151.2915955,109.5260391
"2657","coenzyme A biosynthetic process","extracellular exosome","ppcs","phosphopantothenate--cysteine ligase activity","Phosphopantothenate--cysteine ligase","PPCS_MOUSE",5.74e-21,"Q8VDG5",10,6,10,9,8,8,8,8,369.7390442,263.8812561,293.5594482,398.9105835
"2658","lipid transport,cholesterol metabolic process","nucleus,cytosol,high-density lipoprotein particle","hdlbp","RNA binding,cadherin binding","Vigilin","VIGLN_MOUSE",2.49e-43,"Q8VDJ3",42,41,41,42,7,7,7,7,1923.02478,2193.313721,1945.375366,2015.724609
"2659","nitrogen compound metabolic process;","nucleus,mitochondrion,extracellular exosome;","nit1","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;","Nitrilase homolog 1;Isoform 2 of Nitrilase homolog 1","NIT1_MOUSE",9.53e-42,"Q8VDK1;Q8VDK1-2",22,18,20,21,10,10,10,10,1329.582764,927.2504272,954.9501953,1339.784546
"2660","regulation of protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of catalytic activity","proteasome complex,nucleus,proteasome regulatory particle,proteasome regulatory particle, base subcomplex,membrane,proteasome accessory complex,proteasome storage granule,extracellular exosome","psmd2","protein binding,enzyme regulator activity,endopeptidase activity","26S proteasome non-ATPase regulatory subunit 2","PSMD2_MOUSE",7.97e-48,"Q8VDM4",30,30,31,29,10,10,10,10,1206.871216,1204.031128,1254.451538,1073.143921
"2661","transcription, DNA-templated,regulation of transcription, DNA-templated,RNA processing,response to virus;","nucleus,nucleoplasm,intracellular ribonucleoprotein complex;","hnrnpul1","RNA binding,enzyme binding;","Heterogeneous nuclear ribonucleoprotein U-like protein 1;Isoform 2 of Heterogeneous nuclear ribonucleoprotein U-like protein 1","HNRL1_MOUSE",1.44e-37,"Q8VDM6;Q8VDM6-2",8,7,7,8,8,8,8,8,272.3039246,303.9925842,389.2258301,314.0625305
"2662","regulation of the force of heart contraction,regulation of sodium ion transport,cellular sodium ion homeostasis,regulation of blood pressure,potassium ion import,establishment or maintenance of transmembrane electrochemical gradient,dephosphorylation,cellular potassium ion homeostasis,negative regulation of glucocorticoid biosynthetic process,sodium ion export from cell,response to drug,negative regulation of heart contraction,positive regulation of heart contraction,positive regulation of striated muscle contraction,membrane hyperpolarization,cellular response to mechanical stimulus,cellular response to steroid hormone stimulus,regulation of cardiac muscle cell contraction,membrane repolarization,ATP hydrolysis coupled transmembrane transport,potassium ion import across plasma membrane,response to glycoside","endosome,endoplasmic reticulum,Golgi apparatus,plasma membrane,sodium:potassium-exchanging ATPase complex,caveola,postsynaptic density,intercalated disc,membrane,integral component of membrane,basolateral plasma membrane,apical plasma membrane,T-tubule,sarcolemma,myelin sheath,protein complex,extracellular exosome,extracellular vesicle","atp1a1","sodium:potassium-exchanging ATPase activity,protein binding,ATP binding,phosphatase activity,protein kinase binding,protein domain specific binding,ankyrin binding,potassium ion binding,sodium ion binding,ADP binding,phosphatidylinositol 3-kinase binding,chaperone binding,steroid hormone binding","Sodium/potassium-transporting ATPase subunit alpha-1","AT1A1_MOUSE",8.57e-46,"Q8VDN2",86,91,85,87,12,12,12,12,27948.75977,74105.67969,17288.15625,24493.88672
"2663","transcription, DNA-templated,mRNA processing,cellular response to DNA damage stimulus,cell cycle,RNA splicing,response to UV,Wnt signaling pathway,negative regulation of cell growth,regulation of protein stability,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of DNA-templated transcription, elongation,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of catalytic activity,mitochondrial fragmentation involved in apoptotic process,negative regulation of transcription, DNA-templated,rhythmic process,positive regulation of canonical Wnt signaling pathway,regulation of protein deacetylation,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,positive regulation of DNA damage checkpoint","nuclear chromatin,nucleus,nucleoplasm,cytoplasm,mitochondrial matrix,DBIRD complex,spliceosomal complex","ccar2","RNA polymerase II core binding,RNA binding,enzyme inhibitor activity,protein binding,enzyme binding","Cell cycle and apoptosis regulator protein 2","CCAR2_MOUSE",1.65e-33,"Q8VDP4",11,10,11,10,7,7,7,7,202.7173767,226.2345734,280.7459717,227.544754
"2664","prostaglandin metabolic process,cyclooxygenase pathway,oxidation-reduction process","mitochondrion,cytosol,extracellular exosome","ptgr2","13-prostaglandin reductase activity,15-oxoprostaglandin 13-oxidase activity,zinc ion binding","Prostaglandin reductase 2","PTGR2_MOUSE",2.89e-32,"Q8VDQ1",13,10,12,13,7,7,7,7,993.1466064,459.7457886,911.6033936,1013.64209
"2665","sodium ion transport,glucose transmembrane transport","integral component of plasma membrane,extracellular exosome","slc5a9","glucose:sodium symporter activity","Sodium/glucose cotransporter 4","SC5A9_MOUSE",6.52e-10,"Q8VDT1",2,1,2,2,2,2,2,2,53.4330368,14.50043297,9.067248344,22.84005737
"2666","biological_process","mitochondrion,mitochondrial large ribosomal subunit","mrpl50","molecular_function","39S ribosomal protein L50, mitochondrial","RM50_MOUSE",2.99e-16,"Q8VDT9",3,3,3,3,3,3,3,3,136.6790161,65.45275116,122.9092865,165.2176514
"2667","mRNA splicing, via spliceosome,mRNA export from nucleus,cellular response to DNA damage stimulus,regulation of gene expression,RNA secondary structure unwinding","nucleus,spliceosomal complex,nucleolus,cytoplasm,membrane,nuclear speck","ddx39a","RNA binding,ATP-dependent RNA helicase activity,ATP binding,ATPase activity,identical protein binding","ATP-dependent RNA helicase DDX39A","DX39A_MOUSE",7.33e-35,"Q8VDW0",20,19,20,19,10,10,10,10,5055.287109,6241.971191,5929.134277,5128.255371
"2668","translation","mitochondrion,mitochondrial small ribosomal subunit,nuclear membrane,intermediate filament cytoskeleton","mrps23","RNA binding,structural constituent of ribosome","28S ribosomal protein S23, mitochondrial","RT23_MOUSE",5.58e-26,"Q8VE22",8,7,8,8,7,7,7,7,248.6702118,309.651001,176.7936401,299.4623413
"2669","oxidation-reduction process;","mitochondrion;","oxnad1","oxidoreductase activity;","Oxidoreductase NAD-binding domain-containing protein 1;Isoform 2 of Oxidoreductase NAD-binding domain-containing protein 1","OXND1_MOUSE",2.09e-21,"Q8VE38;Q8VE38-2",6,4,4,7,7,7,7,7,110.3531113,66.01622009,68.04322052,120.1260986
"2670","regulation of intracellular estrogen receptor signaling pathway,response to endoplasmic reticulum stress,protein ufmylation,protein K69-linked ufmylation","nucleus,cytoplasm,cytosol,intracellular membrane-bounded organelle","uba5","ATP binding,metal ion binding,UFM1 activating enzyme activity","Ubiquitin-like modifier-activating enzyme 5","UBA5_MOUSE",2.93e-23,"Q8VE47",6,7,7,6,7,7,7,7,360.084198,284.4978027,116.1084442,96.8321228
"2671","angiogenesis,positive regulation of cell proliferation,positive regulation of gene expression,negative regulation of gene expression,positive regulation of cell migration,positive regulation of stress-activated MAPK cascade,positive regulation of peptidyl-serine phosphorylation,intrinsic apoptotic signaling pathway in response to hydrogen peroxide,response to hydrogen peroxide,negative regulation of apoptotic process,positive regulation of MAP kinase activity,wound healing, spreading of cells,positive regulation of Notch signaling pathway,protein stabilization,establishment of Golgi localization,positive regulation of protein serine/threonine kinase activity,negative regulation of cell migration involved in sprouting angiogenesis,Golgi reassembly,positive regulation of intracellular protein transport,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,cellular response to leukemia inhibitory factor","Golgi membrane,cytoplasm,Golgi apparatus,cytosol,plasma membrane,extracellular exosome","pdcd10","protein binding,protein kinase binding,protein homodimerization activity,protein N-terminus binding","Programmed cell death protein 10","PDC10_MOUSE",6.09e-24,"Q8VE70",5,5,5,5,5,5,5,5,292.3527527,285.6961975,343.3357239,403.7866516
"2672","mRNA processing,mRNA export from nucleus,RNA splicing,viral mRNA export from host cell nucleus","transcription export complex,THO complex part of transcription export complex,nuclear speck,nuclear chromosome, telomeric region","thoc3","RNA binding,protein binding","THO complex subunit 3","THOC3_MOUSE",0.000534992,"Q8VE80",2,1,3,3,3,3,3,3,17.26853561,28.21051979,28.62659645,22.09566879
"2673","biological_process;","cellular_component;","fam114a2","molecular_function;","Protein FAM114A2;Isoform 2 of Protein FAM114A2","F1142_MOUSE",4.18e-22,"Q8VE88;Q8VE88-2",3,3,4,3,4,4,4,4,11.39775085,14.71842384,22.36660957,11.63657761
"2674","biological_process,positive regulation of synapse assembly","mitochondrion","","molecular_function","UPF0598 protein C8orf82 homolog","CH082_MOUSE",9.75e-37,"Q8VE95",4,3,5,4,5,5,5,5,51.50740814,39.74727631,27.75932693,30.84682846
"2675","protein maturation by protein folding,cellular response to oxidative stress,mitochondrial DNA repair,protein import into mitochondrial intermembrane space,regulation of protein export from nucleus,'de novo' posttranslational protein folding,oxidation-reduction process,establishment of protein localization to mitochondrion,positive regulation of cellular respiration,cellular response to leukemia inhibitory factor","mitochondrion,mitochondrial intermembrane space","chchd4","protein binding,protein disulfide oxidoreductase activity","Mitochondrial intermembrane space import and assembly protein 40","MIA40_MOUSE",5.66e-22,"Q8VEA4",4,3,3,4,4,4,4,4,61.1505127,36.97328568,52.07883072,54.40040588
"2676","negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,regulation of cardiac muscle hypertrophy,positive regulation of calcineurin-NFAT signaling cascade","extracellular space,nucleus,cytoplasm,extracellular matrix","lmcd1","transcription corepressor activity,protein binding,zinc ion binding","LIM and cysteine-rich domains protein 1","LMCD1_MOUSE",6.56e-40,"Q8VEE1",3,3,4,4,4,4,4,4,70.1306839,16.22932816,37.92001343,64.10580444
"2677","cell separation after cytokinesis,protein targeting to lysosome,membrane budding,nucleus organization,mitotic metaphase plate congression,abscission,vesicle-mediated transport,endosomal transport,viral release from host cell,intracellular cholesterol transport,negative regulation of cytokinesis,regulation of protein localization,endosomal vesicle fusion,multivesicular body assembly,viral budding via host ESCRT complex,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,mitotic cytokinesis checkpoint,positive regulation of viral process,cell division,late endosomal microautophagy,vesicle uncoating,ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,positive regulation of viral release from host cell,regulation of protein localization to plasma membrane,positive regulation of exosomal secretion,positive regulation of viral budding via host ESCRT complex,positive regulation of viral life cycle","spindle pole,nucleus,cytoplasm,lysosome,endosome,early endosome,late endosome,vacuolar membrane,centrosome,cytosol,plasma membrane,midbody,late endosome membrane,perinuclear region of cytoplasm,extracellular exosome,Flemming body,ESCRT III complex","vps4a","protein binding,ATP binding,protein C-terminus binding,ATPase activity,protein domain specific binding","Vacuolar protein sorting-associated protein 4A","VPS4A_MOUSE",1.83e-24,"Q8VEJ9",3,2,4,2,4,4,4,4,72.69249725,136.7821045,100.6887436,103.584053
"2678","negative regulation of transcription from RNA polymerase II promoter,regulation of alternative mRNA splicing, via spliceosome,osteoblast differentiation,mRNA processing,regulation of mitotic cell cycle,RNA splicing,dosage compensation by inactivation of X chromosome,negative regulation of telomere maintenance via telomerase,circadian regulation of gene expression,negative regulation of kinase activity,negative regulation of transcription elongation from RNA polymerase II promoter,positive regulation of transcription from RNA polymerase II promoter,mRNA stabilization,maintenance of protein location in nucleus,cardiac muscle cell development,CRD-mediated mRNA stabilization,cellular response to glucocorticoid stimulus,cellular response to dexamethasone stimulus,regulation of mitotic spindle assembly,regulation of chromatin organization,positive regulation of attachment of mitotic spindle microtubules to kinetochore,protein localization to spindle microtubule,RNA localization to chromatin,cellular response to leukemia inhibitory factor,positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity,positive regulation of stem cell proliferation,negative regulation of stem cell differentiation","nuclear chromosome,kinetochore,nucleus,nucleoplasm,centrosome,cell surface,membrane,nuclear matrix,nuclear speck,midbody,intracellular ribonucleoprotein complex,extracellular matrix,macromolecular complex,cytoplasmic ribonucleoprotein granule,CRD-mediated mRNA stability complex,catalytic step 2 spliceosome,mitotic spindle,inactive sex chromosome,mitotic spindle midzone,mitotic spindle microtubule,ribonucleoprotein complex,telomerase holoenzyme complex,RNA polymerase II transcription factor complex","hnrnpu","RNA polymerase II core binding,core promoter binding,TFIIH-class transcription factor binding,DNA binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,transcription corepressor activity,RNA binding,double-stranded RNA binding,single-stranded RNA binding,mRNA 3'-UTR binding,actin binding,protein binding,ATP binding,poly(A) binding,snRNA binding,poly(C) RNA binding,chromatin DNA binding,poly(G) binding,enhancer binding,pre-mRNA binding,identical protein binding,ribonucleoprotein complex binding,sequence-specific DNA binding,macromolecular complex binding,telomerase RNA binding,Requires Ontology,sequence-specific double-stranded DNA binding,promoter-specific chromatin binding","Heterogeneous nuclear ribonucleoprotein U","HNRPU_MOUSE",6.88e-36,"Q8VEK3",44,46,45,47,11,11,11,11,12099.62793,13828.83203,13595.96973,12430.71875
"2679","mitochondrial transport,phosphate ion transmembrane transport","mitochondrion,mitochondrial inner membrane,membrane,integral component of membrane,myelin sheath,extracellular exosome","slc25a3","phosphate ion transmembrane transporter activity,symporter activity,protein complex binding","Phosphate carrier protein, mitochondrial","MPCP_MOUSE",7.58e-51,"Q8VEM8",24,24,24,24,10,10,10,10,16170.49707,19446.38281,9382.844727,14605.13086
"2680","transcription, DNA-templated,regulation of transcription, DNA-templated,mRNA processing,RNA splicing;","nucleus,nucleoplasm,microtubule organizing center,microtubule cytoskeleton,nuclear speck,protein complex;","rbm39","transcription coactivator activity,RNA binding,protein binding;","RNA-binding protein 39;Isoform 2 of RNA-binding protein 39","RBM39_MOUSE",9.21e-49,"Q8VH51;Q8VH51-2",15,13,16,15,7,7,7,7,881.499939,774.7121582,977.9069824,852.6543579
"2681","response to selenium ion,multicellular organism growth,corticosterone secretion,hormone metabolic process,adipose tissue development","endoplasmic reticulum,Golgi apparatus,perinuclear region of cytoplasm","selm","molecular_function","Selenoprotein M","SELM_MOUSE",6.66e-13,"Q8VHC3",2,2,2,2,2,2,2,2,20.95535278,14.38212872,34.10087585,10.11393738
"2682","liver development,SRP-dependent cotranslational protein targeting to membrane,posttranslational protein targeting to membrane,nitrogen compound metabolic process,multicellular organism aging,posttranslational protein targeting to membrane, translocation,renal system development","endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane","sec63","RNA binding,protein transporter activity","Translocation protein SEC63 homolog","SEC63_MOUSE",2.33e-22,"Q8VHE0",4,4,4,4,4,4,4,4,139.3317719,164.8520966,146.2694855,137.877533
"2683","drug catabolic process,oxidation-reduction process","cellular_component,endoplasmic reticulum membrane,integral component of membrane,organelle membrane","fmo4","monooxygenase activity,N,N-dimethylaniline monooxygenase activity,flavin adenine dinucleotide binding,NADP binding","Dimethylaniline monooxygenase [N-oxide-forming] 4","FMO4_MOUSE",2.09e-22,"Q8VHG0",6,3,6,7,7,7,7,7,90.58657074,77.9169693,54.6581955,163.1375732
"2684","ossification,transcription, DNA-templated,RNA processing,response to virus,RNA secondary structure unwinding,positive regulation of telomere maintenance,response to exogenous dsRNA,positive regulation of transcription from RNA polymerase II promoter,telomerase RNA stabilization,positive regulation of interferon-alpha secretion","chromosome, telomeric region,nucleus,cytoplasm,cytosol,extracellular exosome","dhx36","core promoter binding,G-quadruplex RNA binding,single-stranded DNA binding,RNA binding,double-stranded RNA binding,ATP-dependent RNA helicase activity,protein binding,ATP binding,DNA-dependent ATPase activity,histone deacetylase binding,transcription regulatory region DNA binding,G-quadruplex DNA binding,telomerase RNA binding","ATP-dependent RNA helicase DHX36","DHX36_MOUSE",2.71e-18,"Q8VHK9",3,3,3,4,4,4,4,4,17.02693367,29.23015976,37.92227936,25.23896027
"2685","circadian rhythm,negative regulation of catalytic activity,mRNA destabilization","nucleus,nucleoplasm,cytoplasm,viral nucleocapsid,dendrite,growth cone,intracellular ribonucleoprotein complex,axon terminus,catalytic step 2 spliceosome","hnrnpr","RNA binding,mRNA 3'-UTR binding","Heterogeneous nuclear ribonucleoprotein R","Q8VHM5_MOUSE",5.63e-50,"Q8VHM5",14,12,13,14,8,8,8,8,336.4968872,395.8415222,541.0418091,406.2259521
"2686","fatty acid metabolic process,acyl-CoA metabolic process,response to temperature stimulus,response to cold,intracellular signal transduction","cytosol,extracellular exosome","acot11","lipid binding,acyl-CoA hydrolase activity,carboxylic ester hydrolase activity","Acyl-coenzyme A thioesterase 11","ACO11_MOUSE",9.3e-13,"Q8VHQ9",3,2,3,4,4,4,4,4,39.05043793,101.4659805,46.07354736,62.59205246
"2687","activation of MAPK activity,angiogenesis,transmembrane receptor protein tyrosine kinase signaling pathway,cell proliferation,glial cell migration,intracellular signal transduction,tissue remodeling,positive regulation of peptidyl-tyrosine phosphorylation","intracellular,plasma membrane,focal adhesion,cell surface,integral component of membrane,apical plasma membrane,extracellular matrix,lamellipodium membrane,cell projection,extracellular exosome","cspg4","signal transducer activity,protein binding,protein kinase binding","Chondroitin sulfate proteoglycan 4","CSPG4_MOUSE",1.57e-43,"Q8VHY0",2,2,3,2,3,3,3,3,28.87027359,61.88768768,31.74632645,21.54543304
"2688","drug transmembrane transport,response to oxidative stress,female pregnancy,response to heat,mercury ion transport,canalicular bile acid transport,prostaglandin transport,cellular chloride ion homeostasis,response to methotrexate,cellular response to hormone stimulus,response to estrogen,response to arsenic-containing substance,transmembrane transport,thyroid hormone transport,cellular response to lipopolysaccharide,cellular response to interleukin-1,cellular response to interleukin-6,cellular response to tumor necrosis factor,cellular response to dexamethasone stimulus,response to antineoplastic agent,benzylpenicillin metabolic process","integral component of plasma membrane,cell surface,membrane,apical plasma membrane,brush border membrane,intercellular canaliculus","abcc2","protein binding,ATP binding,organic anion transmembrane transporter activity,protein domain specific binding,ATPase activity, coupled to transmembrane movement of substances","Canalicular multispecific organic anion transporter 1","MRP2_MOUSE",5.61e-35,"Q8VI47",16,7,16,15,8,8,8,8,227.1817169,46.99370575,112.3156815,268.3370056
"2689","protein import into nucleus, translocation,DNA replication-dependent nucleosome assembly,DNA replication-independent nucleosome assembly,NLS-bearing protein import into nucleus,ribosomal protein import into nucleus,ribosome biogenesis","nuclear chromatin,cytoplasm,membrane,nuclear membrane,nuclear periphery,protein complex","ipo4","protein binding,nuclear localization sequence binding,Ran GTPase binding,protein transporter activity","Importin-4","IPO4_MOUSE",3.94e-36,"Q8VI75",10,9,11,10,7,7,7,7,166.0225372,200.8305359,266.6587524,211.6069489
"2690","negative regulation of transcription from RNA polymerase II promoter,alternative mRNA splicing, via spliceosome,double-strand break repair via homologous recombination,activation of innate immune response,transcription, DNA-templated,cellular response to DNA damage stimulus,regulation of circadian rhythm,negative regulation of circadian rhythm,positive regulation of sister chromatid cohesion,negative regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,rhythmic process,chromosome organization,regulation of cell cycle,histone H3 deacetylation,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","chromatin,nucleus,nucleoplasm,cytoplasm,nuclear matrix,nuclear speck,extracellular matrix,paraspeckles,RNA polymerase II transcription factor complex","sfpq","transcription regulatory region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,core promoter binding,DNA binding,chromatin binding,RNA binding,protein binding,protein homodimerization activity,histone deacetylase binding,transcription regulatory region DNA binding","Splicing factor, proline- and glutamine-rich","SFPQ_MOUSE",5.4e-41,"Q8VIJ6",24,24,24,24,10,10,10,10,2341.601563,2393.520996,3124.888428,2178.668701
"2691","cellular ion homeostasis,sensory perception of sound,cellular potassium ion homeostasis,cellular chloride ion homeostasis,regulation of molecular function,chloride transmembrane transport","integral component of plasma membrane,integral component of membrane,basolateral plasma membrane,protein complex","bsnd","protein binding,chloride channel regulator activity,chloride channel activity","Barttin","BSND_MOUSE",6.46e-18,"Q8VIM4",6,1,6,5,7,7,7,7,134.7052155,44.89797211,113.8794861,85.9054184
"2692","inositol metabolic process,inositol biosynthetic process,signal transduction,phosphatidylinositol phosphorylation,inositol phosphate dephosphorylation","cytoplasm","impa2","inositol monophosphate 1-phosphatase activity,protein homodimerization activity,metal ion binding,inositol monophosphate 3-phosphatase activity,inositol monophosphate 4-phosphatase activity","Inositol monophosphatase 2","IMPA2_MOUSE",1.04e-09,"Q91UZ5",2,2,3,2,3,3,3,3,49.21374512,62.01604462,74.83301544,45.3436203
"2693","phospholipid biosynthetic process,regulation of plasma lipoprotein particle levels","endoplasmic reticulum membrane,membrane,integral component of membrane","lpcat3","1-acylglycerophosphocholine O-acyltransferase activity","Lysophospholipid acyltransferase 5","MBOA5_MOUSE",1.37e-41,"Q91V01",2,3,3,2,3,3,3,3,88.83816528,107.7082214,62.32069397,53.97558594
"2694","negative regulation of type B pancreatic cell proliferation;","nucleoplasm,microtubule organizing center,plasma membrane;","wdr13","promoter-specific chromatin binding;","WD repeat-containing protein 13","WDR13_MOUSE;S4R225_MOUSE",5.31e-05,"Q91V09;S4R225",3,1,3,3,3,3,3,3,38.48888779,40.17432022,57.80672836,52.4360733
"2695","respiratory electron transport chain","mitochondrion","etfrf1","molecular_function","Electron transfer flavoprotein regulatory factor 1","ETFR1_MOUSE",1.57e-18,"Q91V16",2,2,2,2,2,2,2,2,90.56626892,166.3051758,41.43883133,47.02875519
"2696","Golgi to endosome transport,fibroblast growth factor receptor signaling pathway,embryo development,protein transport,regulation of endocytosis,endocytic recycling,regulation of protein localization,defense response to bacterium,membrane organization,phagosome maturation","Golgi membrane,intracellular,lysosomal membrane,endosome,trans-Golgi network,cytosol,cytoplasmic vesicle membrane,early endosome membrane,intracellular membrane-bounded organelle,phagocytic vesicle,recycling endosome,extracellular exosome","rab14","GTPase activity,protein binding,GTP binding,GDP binding,myosin V binding","Ras-related protein Rab-14","RAB14_MOUSE",1.54e-24,"Q91V41",20,22,21,23,9,9,9,9,1337.237915,1472.352173,1296.658203,1451.388794
"2697","","","rps5","","40S ribosomal protein S5","Q91V55_MOUSE",2.71e-28,"Q91V55",14,14,14,13,10,10,10,10,6235.472168,5437.016602,6428.09375,5820.567871
"2698","biological_process,metabolic process","cytoplasm,peroxisome,extracellular exosome","isoc1","molecular_function,catalytic activity","Isochorismatase domain-containing protein 1","ISOC1_MOUSE",9.63e-17,"Q91V64",7,7,7,7,7,7,7,7,226.1560974,121.0150375,293.6736145,279.4642334
"2699","","nucleus,nucleoplasm,nuclear body,extracellular exosome","","zinc ion binding,hydrolase activity, acting on ester bonds","Ester hydrolase C11orf54 homolog","CK054_MOUSE",7.98e-25,"Q91V76",20,13,20,21,10,10,10,10,3804.751953,654.3101807,2127.029053,3698.358398
"2700","","","s100a1","","Protein S100","Q91V77_MOUSE",6.16e-42,"Q91V77",11,9,11,9,11,11,11,11,129.2720947,65.36054993,133.8355408,241.0146332
"2701","regulation of protein phosphorylation,signal transduction,positive regulation of neuron projection development,regulation of protein autophosphorylation,positive regulation of protein dephosphorylation,positive regulation of transcription from RNA polymerase II promoter,regulation of catalytic activity,positive regulation of neurotrophin TRK receptor signaling pathway,cellular response to growth factor stimulus","protein phosphatase type 2A complex","ppp2r5d","protein binding,protein phosphatase regulator activity","Protein Ppp2r5d","Q91V89_MOUSE",7.26e-40,"Q91V89",6,5,5,5,6,6,6,6,103.9605026,98.63470459,115.6726685,69.04983521
"2702","fatty acid biosynthetic process,acyl-CoA metabolic process","mitochondrion,mitochondrial matrix,extracellular exosome,blood microparticle","acsm1","acyl-CoA ligase activity,fatty-acyl-CoA synthase activity,ATP binding,GTP binding,fatty acid ligase activity,metal ion binding,butyrate-CoA ligase activity","Acyl-coenzyme A synthetase ACSM1, mitochondrial","ACSM1_MOUSE",1.56e-39,"Q91VA0",18,11,17,19,7,7,7,7,1051.963623,272.5173035,523.0786743,1054.866455
